V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apple,Q2.4_5,Q2.4_loquat,Q2.4_rambutan,Q2.4_mangosteen,Q2.4_peach,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q10.2_1,Q10.2_2,Q10.2_3,Q10.2_4,Q10.2_5,Q10.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,LocationLatitude,LocationLongitude,LocationAccuracy
R_50IOzx10JQiwihL,Default Response Set,Anonymous,,,93.221.201.133,0,5/3/16 12:42,5/3/16 12:59,1,400662,2,,1,,,,,,,,,,1,7,2,1,3,2,3,5,5,5,2,4,,7,7,3,3,5,1,2,3,1,5,2,4,5,5,5,5,5,3,3,5,7,7,5,4,2,5,2,7,5,1,5,2,6,7,3,2,5,5,6,1,,,,,,6,1,,,,,,,,,,2,3,2,1,2,1,2,1,2,5,,,,,,,2,2,2,2,3,2,1,1,4,2,1,45,2,49.48109436,8.435302734,-1
R_6yQzDEhROhtHsMd,Default Response Set,Anonymous,,,62.176.251.98,0,5/3/16 12:50,5/3/16 12:59,1,400693,2,,1,,,,,,,,,,1,8,2,1,1,1,1,5,5,5,3,4,,6,6,4,3,6,2,2,5,4,6,3,6,4,5,4,5,6,5,3,6,6,6,6,2,5,5,2,5,5,4,3,2,5,6,2,2,6,5,,2,,,,,,2,1,,,,,,,,,,2,2,2,2,1,1,2,1,1,5,,,,,,,3,2,2,2,2,3,1,5,4,2,1,58,2,52.4230957,10.82240295,-1
R_bluNNMPKsLcFTBb,Default Response Set,Anonymous,,,90.186.0.98,0,5/3/16 12:56,5/3/16 12:59,1,400736,2,,1,,,,,,,,,,1,5,4,1,3,2,4,5,4,5,3,4,,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,12,-1
R_3Cs2LKovH9PBSyV,Default Response Set,Anonymous,,,213.188.119.209,0,5/3/16 12:58,5/3/16 12:59,1,400752,2,,1,,,,,,,,,,1,6,3,1,1,1,3,2,2,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74220276,9.004806519,-1
R_ezXepyahsIBcw4d,Default Response Set,Anonymous,,,85.181.114.94,0,5/3/16 12:56,5/3/16 12:59,1,400735,2,,1,,,,,,,,,,1,7,3,3,3,2,4,5,5,5,3,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51669312,13.3999939,-1
R_1HP5ehFWZwJGNox,Default Response Set,Anonymous,,,93.219.125.186,0,5/3/16 12:55,5/3/16 12:59,1,400725,2,,1,,,,,,,,,,1,5,3,2,2,2,3,5,5,5,3,4,,4,4,4,4,3,4,3,4,4,4,4,2,4,3,6,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,5,2,4,4,4,4,5,4,5,1,,4,1,,,,,,,,,,,,,,2,1,3,1,1,2,1,3,1,5,,,,,,,2,2,3,2,4,4,1,1,5,3,2,25,2,52.38710022,13.0993042,-1
R_d4G74k9eKWlWZIp,Default Response Set,Anonymous,,,91.57.221.207,0,5/3/16 12:53,5/3/16 12:59,1,400714,2,,1,,,,,,,,,,1,8,2,1,3,2,3,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.69999695,9.433303833,-1
R_5pzN3TLzOtI53ed,Default Response Set,Anonymous,,,83.216.242.73,0,5/3/16 12:59,5/3/16 12:59,1,400758,2,,1,,,,,,,,,,1,7,3,2,3,2,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.60670471,7.524093628,-1
R_1B0XRTIvh10v4vX,Default Response Set,Anonymous,,,77.5.127.41,0,5/3/16 12:49,5/3/16 13:00,1,400688,2,,1,,,,,,,,,,1,7,1,2,1,1,4,5,5,5,3,4,,7,7,5,4,6,2,4,4,7,7,1,5,4,5,7,7,7,5,3,7,7,7,6,4,4,5,1,7,7,4,6,2,7,7,1,2,1,6,7,1,,7,1,,,,,,,,,,,,,,2,2,2,2,1,2,2,1,1,3,7,7,7,7,7,7,4,3,3,3,3,3,1,2,3,2,1,45,2,50.57460022,8.713500977,-1
R_0BTKmI0AeHnuMtf,Default Response Set,Anonymous,,,95.91.202.152,0,5/3/16 12:59,5/3/16 13:00,1,400768,2,,1,,,,,,,,,,1,4,4,5,4,4,4,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.48809814,8.291702271,-1
R_066cRpvsOETgDe5,Default Response Set,Anonymous,,,109.90.212.98,0,5/3/16 12:52,5/3/16 13:00,1,400704,2,,1,,,,,,,,,,1,6,3,1,2,1,3,5,5,5,3,4,,3,6,4,2,5,5,1,3,7,7,3,6,3,5,5,6,7,4,2,5,6,7,4,4,2,5,4,4,6,3,6,2,4,6,4,2,5,5,5,1,,,,,,,,2,2,3,2,2,4,1,,,2,3,3,3,2,3,1,1,3,5,,,,,,,5,5,4,5,3,4,1,1,4,4,2,36,2,51,9,-1
R_bC9EhIMxhW21dM9,Default Response Set,Anonymous,,,95.90.224.186,0,5/3/16 12:37,5/3/16 13:00,1,400632,2,,1,,,,,,,,,,1,6,3,4,3,4,4,5,5,5,4,4,,6,6,3,4,6,4,1,3,5,6,3,5,4,6,6,6,6,5,3,7,6,6,6,3,3,5,4,4,5,4,6,2,7,5,6,4,5,6,4,1,,,,,,,,3,3,3,3,3,3,1,,,2,2,2,1,2,1,2,1,2,5,,,,,,,3,4,4,3,5,2,1,6,1,2,1,34,2,53.12669373,8.23840332,-1
R_5zNXBNkOYgtktwh,Default Response Set,Anonymous,,,37.201.213.143,0,5/3/16 12:50,5/3/16 13:00,1,400695,2,,1,,,,,,,,,,1,7,2,1,3,3,2,5,5,5,3,4,,7,7,6,5,6,1,4,5,3,5,2,6,5,4,6,6,7,6,3,5,7,6,7,5,3,5,4,5,4,4,6,2,6,5,5,1,5,6,6,1,,2,1,,,,,,,,,,,,,,2,1,2,2,2,2,1,1,2,5,,,,,,,1,1,1,1,1,1,2,5,2,1,,47,4,51,9,-1
R_eR5xHc14Kmdl7qB,Default Response Set,Anonymous,,,178.12.123.46,0,5/3/16 12:48,5/3/16 13:00,1,400683,2,,1,,,,,,,,,,1,5,3,1,3,1,4,5,5,5,3,4,,6,6,4,4,6,2,3,3,6,6,2,4,4,5,5,5,4,5,4,5,5,4,6,4,2,6,2,4,4,4,5,2,6,4,3,5,3,4,4,1,,,,4,1,,,,,,,,,,,,2,1,2,1,1,2,1,1,2,5,,,,,,,3,4,4,4,4,4,2,1,4,3,2,23,2,50.93260193,11.58680725,-1
R_2mc402AyOMGbrhz,Default Response Set,Anonymous,,,91.141.0.81,0,5/3/16 12:59,5/3/16 13:00,1,800110,2,,1,,,,,,,,,,1,5,3,1,1,1,3,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.19999695,16.36669922,-1
R_6KfoWemkJvDJq2F,Default Response Set,Anonymous,,,88.67.163.1,0,5/3/16 12:46,5/3/16 13:01,1,400675,2,,1,,,,,,,,,,1,7,2,1,1,2,3,5,5,5,3,4,,5,6,5,5,7,2,3,4,5,6,1,5,3,5,5,5,6,5,3,5,3,4,6,4,4,5,3,4,5,2,5,2,5,5,3,4,4,5,4,1,,,,4,1,,,,,,,,,,,,2,1,2,1,1,1,1,1,2,5,,,,,,,4,3,4,3,4,4,1,5,4,2,1,45,2,49.46780396,11.06930542,-1
R_80a0RZgWHFDXxbf,Default Response Set,Anonymous,,,93.133.177.188,0,5/3/16 12:55,5/3/16 13:01,1,400733,2,,1,,,,,,,,,,1,4,2,1,2,1,4,5,5,5,3,4,,7,7,1,1,6,1,1,5,7,7,1,5,1,6,7,7,7,5,1,6,7,7,6,7,2,7,1,1,7,5,7,2,5,5,5,5,5,5,5,1,,,,5,1,,,,,,,,,,,,2,1,3,2,1,2,3,1,1,5,,,,,,,2,3,3,3,4,4,2,2,1,1,,17,4,48.1499939,11.58329773,-1
R_9z7lAW5B8ml5vJH,Default Response Set,Anonymous,,,94.222.239.68,0,5/3/16 12:59,5/3/16 13:01,1,400764,2,,2,,,,,,,,,1,,3,2,2,2,2,3,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.36669922,12.38330078,-1
R_6xPTrX2DPM8tHc9,Default Response Set,Anonymous,,,88.70.155.255,0,5/3/16 12:44,5/3/16 13:01,1,400671,2,,1,,,,,,,,,,1,7,4,2,3,1,3,5,5,5,5,4,,6,6,2,4,6,6,2,3,6,6,1,6,4,5,6,6,7,5,3,5,6,6,5,6,4,6,2,5,5,4,5,2,6,6,2,4,4,5,5,1,,,,2,1,,,,,,,,,,,,2,1,2,1,1,2,1,2,2,5,,,,,,,4,3,4,3,4,3,1,5,1,1,,46,,53.02749634,8.638504028,-1
R_6opGGG3OF6zKaFv,Default Response Set,Anonymous,,,93.199.66.229,0,5/3/16 12:56,5/3/16 13:01,1,400741,2,,1,,,,,,,,,,1,5,1,1,2,2,3,5,5,1,2,4,,6,6,4,5,6,2,3,5,6,4,5,5,5,4,4,4,3,6,4,6,5,4,3,5,2,5,5,6,5,5,5,2,5,4,4,1,5,6,5,1,,,,3,1,,,,,,,,,,,,2,2,2,2,1,2,2,2,1,5,,,,,,,2,1,2,2,2,2,1,1,6,3,2,24,5,48.58900452,13.39709473,-1
R_7QIsMHsOea2emtD,Default Response Set,Anonymous,,,178.9.201.1,0,5/3/16 12:50,5/3/16 13:01,1,400696,2,,1,,,,,,,,,,1,6,3,1,3,1,5,5,5,5,3,4,,6,7,4,2,6,2,1,1,7,1,1,5,2,7,,7,7,4,1,5,7,7,4,1,5,7,2,4,6,5,6,2,6,6,2,4,4,4,4,1,,,,,,,,2,2,3,3,2,4,1,,,3,3,3,1,1,3,3,3,1,5,,,,,,,4,5,5,5,5,4,2,2,2,1,,40,2,51.44569397,7.010299683,-1
R_bI3NzkUxPvmjUuF,Default Response Set,Anonymous,,,91.66.49.77,0,5/3/16 12:59,5/3/16 13:02,1,400760,2,,1,,,,,,,,,,1,7,4,1,1,4,4,5,5,5,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.64289856,13.28689575,-1
R_9MPRb8dCfK5Poqh,Default Response Set,Anonymous,,,93.217.94.59,0,5/3/16 12:55,5/3/16 13:02,1,400729,2,,1,,,,,,,,,,1,7,3,1,3,1,3,5,5,5,3,4,,6,6,4,3,6,2,2,3,5,5,3,4,4,5,5,6,5,4,2,6,6,6,6,4,4,5,4,5,5,4,3,2,5,5,3,4,4,4,5,1,,,,,,4,1,,,,,,,,,,2,1,2,2,2,1,2,1,2,5,,,,,,,4,4,4,4,4,4,2,5,4,2,1,46,2,51.94709778,7.54460144,-1
R_6KdUVd8ASrM6IbH,Default Response Set,Anonymous,,,86.56.63.212,0,5/3/16 12:58,5/3/16 13:02,1,400755,2,,1,,,,1,,,,,,,6,1,1,3,1,3,5,5,5,3,4,,7,7,1,1,7,1,7,7,7,7,4,7,1,7,7,7,7,4,7,7,7,7,5,7,4,7,1,7,1,4,7,1,7,7,1,4,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9940033,11.02760315,-1
R_77K9lu9IP4g1Uqh,Default Response Set,Anonymous,,,178.24.30.161,0,5/3/16 12:52,5/3/16 13:02,1,400711,2,,1,,,,,,,,,,1,4,3,1,3,2,3,5,5,5,4,4,,7,7,1,2,7,4,1,1,7,7,1,4,2,7,7,7,7,5,1,7,7,7,6,4,2,7,1,7,7,5,7,2,7,7,1,1,1,7,7,1,,,,,,,,,,,,,,,4,1,3,3,3,1,1,1,2,3,1,2,7,7,7,7,7,7,3,2,3,3,2,2,1,1,2,2,1,13,5,51.32539368,12.33410645,-1
R_3E2wDbq8WQKEGWx,Default Response Set,Anonymous,,,188.104.143.239,0,5/3/16 12:56,5/3/16 13:02,1,400744,1,1,1,,,,,,,,,,1,4,3,2,3,1,3,5,5,5,3,4,,7,7,4,2,5,1,2,2,5,5,1,4,3,6,5,6,6,4,1,5,7,7,6,1,5,5,1,1,7,2,7,2,7,7,1,4,1,5,5,1,,,,,,,,,,,,,,,4,1,3,3,3,1,3,3,2,3,1,2,6,7,7,7,7,7,2,2,2,2,4,4,1,4,5,6,1,19,4,49.5480957,8.655899048,-1
R_8GIXwNsAluZ6vEF,Default Response Set,Anonymous,,,78.42.182.127,0,5/3/16 12:54,5/3/16 13:03,1,400722,2,,1,,,,,,,,,,1,6,4,3,1,1,4,5,5,5,3,4,,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,7,4,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,1,,,,,,,,2,2,2,2,2,4,1,,,3,3,2,3,3,3,3,1,3,5,,,,,,,4,4,4,4,4,4,1,5,4,2,1,37,2,48.63330078,9.649993896,-1
R_3addqdvUtjilJml,Default Response Set,Anonymous,,,178.5.237.46,0,5/3/16 12:53,5/3/16 13:03,1,400712,2,,1,,,,,,,,,,1,2,2,1,3,1,1,5,5,5,2,4,,5,7,5,5,7,1,3,4,6,5,3,6,4,5,5,6,7,5,4,7,6,7,7,2,5,5,2,7,5,5,5,2,7,6,3,5,5,5,4,2,,,,,,,,2,1,3,2,2,5,1,,,2,3,3,2,1,3,2,3,1,5,,,,,,,2,2,2,2,2,3,2,4,3,2,1,4,1,52.51669312,13.3999939,-1
R_afmgxoScJBRa9ff,Default Response Set,Anonymous,,,93.203.88.127,0,5/3/16 12:52,5/3/16 13:03,1,400705,2,,1,,,,,,,,,,1,6,4,1,2,2,4,5,5,5,4,4,,7,6,4,5,7,2,2,4,7,5,2,6,3,6,6,6,7,6,2,5,6,6,6,3,2,6,1,6,5,4,5,2,7,6,2,2,3,6,6,1,,,,,,,,,,,,,,,4,1,2,2,3,2,1,3,1,1,1,5,,,,,,,2,2,2,2,3,3,1,5,2,1,,35,2,49.78289795,9.936599731,-1
R_4OT7BFCRyQoWwQJ,Default Response Set,Anonymous,,,91.8.123.31,0,5/3/16 12:55,5/3/16 13:03,1,400726,2,,1,,,,,,,,1,,,7,2,1,1,1,1,5,5,5,3,4,,4,6,6,2,6,4,5,4,4,6,4,4,2,6,6,6,7,3,3,6,6,6,6,5,4,6,2,6,6,4,6,1,6,6,4,4,6,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.76669312,14.33329773,-1
R_eQhuI9saIcVl3RH,Default Response Set,Anonymous,,,84.141.247.29,0,5/3/16 12:55,5/3/16 13:03,1,400730,1,1,1,,,,,,,,,,1,8,2,1,1,1,1,5,5,5,2,4,,6,3,6,2,6,5,2,4,4,6,4,4,4,6,6,6,4,4,2,4,6,5,6,2,4,6,5,6,6,4,5,2,6,6,6,2,6,5,5,1,,4,1,,,,,,,,,,,,,,2,1,2,1,1,2,1,2,2,5,,,,,,,2,2,2,2,3,3,2,5,6,1,,59,6,52.12210083,10.37609863,-1
R_6GAM9kQ2gGIm96d,Default Response Set,Anonymous,,,46.5.47.159,0,5/3/16 12:57,5/3/16 13:04,1,400749,1,1,1,,,,,,,,,,1,8,1,1,3,1,3,4,5,5,3,4,,7,7,1,4,4,1,2,3,4,6,2,4,3,6,6,6,6,4,2,5,7,6,6,4,4,5,1,5,6,4,5,2,6,5,2,3,4,5,5,1,,,,,,4,1,,,,,,,,,,3,3,3,1,3,3,2,3,1,3,7,7,7,7,7,7,2,2,2,3,3,3,1,5,6,2,1,59,6,48.51669312,9.116699219,-1
R_8rny0af1F6NYIiV,Default Response Set,Anonymous,,,87.170.23.158,0,5/3/16 12:51,5/3/16 13:04,1,400699,2,,1,,,,,,,,,,1,6,3,3,1,3,3,5,5,5,3,4,,6,6,3,4,1,1,1,4,4,5,2,1,4,4,6,6,7,5,3,2,6,6,4,3,3,5,1,5,5,1,5,2,7,7,6,3,3,5,5,1,,,,,,3,1,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,2,2,2,2,2,2,2,5,1,1,,33,2,50.56669617,13,-1
R_7PvZcWrumvN3GG9,Default Response Set,Anonymous,,,178.11.88.20,0,5/3/16 12:53,5/3/16 13:05,1,400717,2,,1,,,,,,,,1,,,6,3,2,1,1,1,5,5,5,3,4,,4,3,4,6,1,7,1,2,2,7,4,7,2,7,7,7,5,7,1,1,4,4,4,7,1,7,6,6,5,4,7,2,4,2,7,1,7,7,7,1,,4,1,,,,,,,,,,,,,,2,1,2,1,1,1,1,2,2,5,,,,,,,4,3,3,4,3,3,2,2,4,3,1,34,2,53.28329468,10.3500061,-1
R_ei0qnBL9tTUoTkx,Default Response Set,Anonymous,,,88.117.139.34,0,5/3/16 13:04,5/3/16 13:05,1,800115,1,1,1,,,,,,,,,,1,3,2,1,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8789978,13.33529663,-1
R_d6h2YgeQF8l9O9T,Default Response Set,Anonymous,,,109.45.2.20,0,5/3/16 12:51,5/3/16 13:05,1,400701,2,,1,,,,,,,,,,1,8,2,3,3,1,3,5,5,5,3,4,,7,7,3,4,5,1,2,4,1,7,1,7,3,6,7,7,7,6,2,6,7,7,5,1,1,7,1,7,7,1,7,2,6,7,1,1,6,6,6,1,,7,1,,,,,,,,,,,,,,2,3,2,1,2,1,2,1,2,5,,,,,,,1,1,4,1,1,1,2,5,3,2,1,56,2,52.51669312,13.3999939,-1
R_eEgZKjRTBrSMn7D,Default Response Set,Anonymous,,,79.245.36.236,0,5/3/16 12:56,5/3/16 13:05,1,400737,2,,1,,,,,,,,,,1,4,2,2,3,1,2,5,4,5,3,4,,5,7,2,2,6,1,2,4,7,5,1,5,4,5,5,6,7,4,4,6,6,5,4,3,3,6,1,6,7,2,5,2,6,7,3,2,3,5,4,1,,,,,,,,3,3,3,3,3,7,1,,,3,2,3,1,1,2,2,2,1,5,,,,,,,3,2,3,2,4,4,2,2,4,2,1,16,5,52.53900146,13.42399597,-1
R_42OOL6u6pA9A09n,Default Response Set,Anonymous,,,185.17.204.146,0,5/3/16 13:05,5/3/16 13:06,1,400777,2,,1,,,,,,,,,,1,4,1,1,1,1,1,3,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.16670227,9.216705322,-1
R_4UtYtGzbd78U8vP,Default Response Set,Anonymous,,,91.55.219.152,0,5/3/16 12:58,5/3/16 13:06,1,400757,2,,1,,,,,,,,,,1,5,2,1,1,1,3,5,5,5,3,4,,6,7,3,5,6,1,2,4,3,6,3,7,3,6,6,5,7,5,2,5,6,6,6,4,2,5,2,4,6,5,5,2,5,6,4,3,4,7,6,1,,,,4,1,,,,,,,,,,,,2,3,2,3,2,1,3,1,2,5,,,,,,,2,3,2,2,1,2,1,1,5,3,2,27,5,48.47540283,12.25430298,-1
R_0DhWo0MzWAyxVVH,Default Response Set,Anonymous,,,217.51.41.146,0,5/3/16 12:58,5/3/16 13:06,1,400756,2,,1,,,,,,,,,,1,7,1,1,1,1,1,5,5,5,1,4,,6,7,4,2,7,3,2,2,5,7,2,2,2,7,7,7,7,6,3,6,6,3,7,2,3,7,6,7,7,5,7,2,7,5,5,4,5,6,4,6,,,,,,3,1,,,,,,,,,,2,2,2,1,1,1,2,1,2,5,,,,,,,3,4,3,4,3,3,2,1,2,2,1,45,2,51.7559967,14.31970215,-1
R_817HgoI6wqt4XBz,Default Response Set,Anonymous,,,93.218.247.159,0,5/3/16 12:52,5/3/16 13:06,1,400709,2,,1,,,,,,,,,,1,6,1,1,1,1,3,5,5,5,3,4,,6,6,2,3,6,3,2,3,4,6,3,5,3,6,6,6,7,4,6,6,6,6,5,4,4,6,1,4,5,5,6,2,6,5,1,4,6,4,5,1,,,,,,,,2,2,3,2,2,4,1,,,3,3,2,3,3,1,2,3,1,3,6,4,6,6,6,6,4,4,4,4,4,4,,1,6,3,1,32,2,51.75,14.25,-1
R_egkRLk5X3aLy3Hv,Default Response Set,Anonymous,,,80.135.253.69,0,5/3/16 12:57,5/3/16 13:06,1,400745,2,,1,,,,,,,,,,1,6,3,1,2,1,3,5,5,5,3,4,,4,5,1,3,5,4,1,1,5,7,4,5,1,7,7,7,7,4,1,5,5,6,7,5,4,7,3,6,7,4,7,2,3,5,1,4,5,4,2,1,,,,7,1,,,,,,,,,,,,3,3,3,1,3,3,2,1,1,5,,,,,,,4,5,4,4,5,4,2,1,3,1,,40,2,49.01679993,12.09539795,-1
R_cYpM5rH1Hq46yEJ,Default Response Set,Anonymous,,,185.5.8.164,0,5/3/16 12:59,5/3/16 13:06,1,400762,2,,1,,,,,,,,,,1,2,3,2,3,2,3,5,5,4,3,4,,6,6,5,4,2,3,4,5,5,5,3,4,4,5,5,6,5,5,2,3,6,2,4,3,1,5,4,3,4,1,5,2,3,6,4,1,6,5,6,1,,3,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,2,3,3,2,3,1,2,4,1,1,,5,3,49.98730469,8.29649353,-1
R_8eufM98t3mVNkeV,Default Response Set,Anonymous,,,88.65.188.47,0,5/3/16 12:54,5/3/16 13:06,1,400719,2,,1,,,,,,,,,,1,5,1,1,1,1,1,5,5,5,2,4,,5,6,4,4,6,3,4,4,5,4,4,4,4,5,4,5,5,5,4,6,4,5,6,4,4,4,4,4,4,4,4,2,5,4,4,4,4,4,3,1,,,,4,1,,,,,,,,,,,,2,3,2,3,3,1,3,1,1,5,,,,,,,4,4,4,4,4,4,2,2,3,3,2,24,2,48,7.850006104,-1
R_56H9k9kJvIUnfff,Default Response Set,Anonymous,,,89.182.140.239,0,5/3/16 12:56,5/3/16 13:07,1,400740,2,,1,,,,,,,,,,1,6,3,1,1,1,3,5,5,5,3,4,,5,6,6,6,6,2,2,2,5,6,2,6,4,5,6,6,5,6,2,5,5,6,5,6,3,6,3,6,6,5,5,2,6,6,2,2,5,5,6,4,,,,,,,,,,,,,,,3,1,3,3,3,1,1,3,2,3,2,5,,,,,,,2,2,2,2,2,1,2,2,5,2,1,40,2,52.41670227,9.600006104,-1
R_414x4ikEbWYDilf,Default Response Set,Anonymous,,,80.108.42.246,0,5/3/16 12:56,5/3/16 13:07,1,800108,2,,1,,,,,,,,,,1,7,2,1,1,1,1,4,5,5,2,2,,3,7,5,3,4,4,2,2,4,5,5,3,3,5,6,7,5,5,2,4,6,5,4,3,3,6,4,5,6,1,5,2,5,4,3,2,4,5,5,1,,,,,,,,,,,,,,,4,1,2,2,2,2,2,1,2,1,2,5,,,,,,,2,2,2,2,3,4,2,3,4,4,3,43,3,48.19810486,16.39480591,-1
R_6uqLSbVEKg9OcAd,Default Response Set,Anonymous,,,91.46.111.161,0,5/3/16 13:07,5/3/16 13:07,1,400785,2,,1,,,,,,,,,,1,3,2,2,1,1,1,1,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.55000305,9.216705322,-1
R_80WwG7yxbIA2pFP,Default Response Set,Anonymous,,,37.49.67.247,0,5/3/16 12:59,5/3/16 13:08,1,400766,2,,1,,1,,,,,,,,,2,2,1,2,1,3,5,5,5,3,4,,5,5,4,5,7,5,5,4,3,5,3,6,4,5,5,5,3,5,4,7,6,5,6,5,3,3,3,3,5,6,5,2,3,5,3,3,5,5,5,1,,,,,,,,3,2,4,2,3,1,1,,,2,1,2,1,1,1,2,1,1,5,,,,,,,3,2,2,2,3,2,2,2,1,3,1,5,3,48.44900513,9.053207397,-1
R_dd3tigHd3XEbvgh,Default Response Set,Anonymous,,,94.100.69.197,0,5/3/16 12:58,5/3/16 13:08,1,400747,2,,1,,,,,,,,,,1,6,2,1,1,1,2,3,5,5,2,4,,4,5,5,4,6,3,3,4,4,6,2,6,4,4,5,5,5,5,4,6,6,6,6,6,4,2,2,5,4,5,4,2,5,4,3,3,4,4,6,1,,4,1,,,,,,,,,,,,,,2,2,2,1,2,3,2,1,2,4,5,5,4,5,4,4,5,4,5,4,4,4,1,1,4,3,2,36,2,50.78329468,13.16670227,-1
R_08U8MLwihCFfrmt,Default Response Set,Anonymous,,,79.247.31.126,0,5/3/16 12:59,5/3/16 13:08,1,400769,2,,1,,,,,,,,,,1,4,1,1,1,1,3,5,5,5,2,4,,4,5,3,3,7,5,1,3,1,4,5,6,2,4,4,4,6,5,3,7,4,4,7,4,2,7,3,6,7,1,7,2,1,5,3,1,5,5,4,1,,,,,,,,,,,,,,,3,1,2,1,2,1,1,2,1,1,1,4,4,4,4,4,4,4,3,3,3,3,3,3,1,1,6,3,2,18,5,48.085495,11.9750061,-1
R_eFnvqoCWoF1lGv3,Default Response Set,Anonymous,,,178.27.111.85,0,5/3/16 12:57,5/3/16 13:08,1,400751,2,,1,,,,,,,,,,1,7,2,1,1,1,1,5,5,5,3,4,,6,6,2,5,5,2,2,5,3,5,3,6,5,5,5,5,7,6,2,5,6,5,6,3,2,6,3,5,6,3,5,2,4,6,2,2,3,6,5,6,,,,2,1,,,,,,,,,,,,2,3,2,1,1,1,2,1,2,5,,,,,,,3,3,3,3,3,2,2,5,5,4,3,42,3,48.24569702,12.68209839,-1
