V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.8_TEXT,Q11.9,Q11.10_1,Q11.10_2,Q11.10_3,Q11.10_4,Q11.10_5,Q11.10_6,Q11.10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
R_6Rnp9wT4B1Nqofj,Default Response Set,Anonymous,,,173.44.55.69,0,5/3/16 14:40,5/3/16 14:40,1,200714,2,,1,,,,,,,,1,,,4,2,2,2,2,1,3,3,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.85879517,-80.3839035,-1
R_9vr5C82GRCaQwD3,Default Response Set,Anonymous,,,207.255.173.33,0,5/3/16 14:40,5/3/16 14:41,1,200715,2,,1,,1,,,,,,,,,4,2,3,2,3,2,2,3,3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.08259583,-78.76010132,-1
R_cMWFF0mUfEu4Ae1,Default Response Set,Anonymous,,,173.122.176.183,0,5/3/16 14:34,5/3/16 14:42,1,200698,2,,1,,,,,,,,,,1,7,3,1,2,3,3,5,5,5,3,9,,6,7,1,1,3,1,1,2,6,6,1,2,3,6,6,6,7,1,2,5,5,7,6,1,7,7,2,7,7,4,6,2,7,7,1,7,1,2,1,1,,2,,,,,,,,,,,,,,,7,1,3,3,3,1,1,3,3,3,1,2,6,6,5,7,6,7,4,4,5,4,4,4,2,2,5,2,1,45,41,4,,2,1,,,,,,,32.91259766,-96.63890076,-1
R_eFAu4Zb0fyKCDQh,Default Response Set,Anonymous,,,64.251.151.98,0,5/3/16 14:19,5/3/16 14:42,1,200678,2,,1,,,1,,,,,1,,,6,1,1,1,1,2,5,5,5,2,9,,7,6,5,3,6,2,3,4,5,5,3,4,4,5,5,4,7,6,4,6,6,5,4,4,4,5,2,5,5,5,4,2,1,6,2,2,3,5,5,1,,2,,,,,,3,1,,,,,,,,,,2,1,2,1,1,1,1,1,2,2,1,1,2,4,4,4,1,1,1,1,1,1,2,5,1,1,,26,39,7,Cosmetogy licensed degree,2,1,,,,,,,37.92649841,-91.77909851,-1
R_1XKIiRDrh7Mzg1L,Default Response Set,Anonymous,,,68.2.185.111,0,5/3/16 14:33,5/3/16 14:42,1,200697,2,,1,,,,,,,,,,1,8,4,1,2,2,4,5,5,5,4,9,,7,7,4,2,7,3,1,2,7,5,3,4,3,4,4,4,7,7,3,6,7,4,6,3,1,7,1,7,7,1,5,2,7,7,1,4,5,5,4,1,,4,,6,1,,,,,,,,,,,,,,2,2,2,1,1,2,2,1,1,4,3,3,4,4,3,3,3,3,2,2,2,2,2,5,3,1,,3,56,2,,2,,,,1,,,,33.38330078,-112.1115036,-1
R_9Soe66Wuo102T7n,Default Response Set,Anonymous,,,63.199.123.20,0,5/3/16 14:33,5/3/16 14:43,1,200696,2,,1,,,,,,,,,,1,4,1,1,1,1,2,5,5,5,3,9,,5,5,4,3,6,4,3,3,4,5,3,5,3,5,6,6,6,5,3,5,5,5,5,3,4,5,3,5,5,4,5,2,5,5,4,3,4,5,5,3,,1,,,,3,1,,,,,,,,,,,,2,1,2,1,2,1,1,1,1,5,,,,,,,3,3,3,3,3,3,2,1,5,2,1,5,17,4,,1,1,,,,,,,34.05329895,-118.2548981,-1
R_bdBcBAhbaxAX2BL,Default Response Set,Anonymous,,,173.164.12.162,0,5/3/16 14:34,5/3/16 14:43,1,200701,2,,1,,,,,,,,,,1,4,2,1,3,2,3,5,5,5,4,9,,4,5,1,4,7,4,4,4,2,4,5,5,4,5,4,4,7,4,4,7,4,6,6,4,4,5,6,6,6,5,4,2,5,4,3,5,4,5,3,2,,2,,,,,,,,1,1,1,1,1,7,1,,,3,3,3,1,1,3,2,3,1,2,7,7,7,7,7,7,4,4,4,4,4,4,2,6,4,2,1,44,17,2,,2,1,,,,,,,35.90859985,-86.78109741,-1
R_1LmETduCtwQzZcN,Default Response Set,Anonymous,,,192.225.171.4,0,5/3/16 14:38,5/3/16 14:45,1,200709,2,,1,,,,,,,,,,1,4,2,1,2,1,3,5,5,1,3,9,,6,7,5,6,7,6,6,6,6,7,6,7,7,7,7,6,6,5,6,6,6,7,7,7,5,6,7,7,6,6,6,2,7,6,6,6,7,6,7,1,,4,,,,,,1,1,,,,,,,,,,2,2,2,1,2,1,2,2,2,1,1,2,2,1,3,2,1,2,3,2,2,1,1,1,7,4,3,33,19,4,,2,1,,,,,,,40.73910522,-73.98259735,-1
R_7OrPmrODs85PJ2d,Default Response Set,Anonymous,,,198.199.85.138,0,5/3/16 14:43,5/3/16 14:45,1,200721,2,,1,,,,,,,,,,1,5,2,1,1,1,2,1,2,2,2,10,new yord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.71429443,-74.0059967,-1
R_diiOWyDONq4yXhX,Default Response Set,Anonymous,,,69.80.102.29,0,5/3/16 14:45,5/3/16 14:45,1,200726,2,,1,,,,,,,,,,1,5,1,1,1,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26719666,-97.74310303,-1
R_7Wc6abbkrMGgDch,Default Response Set,Anonymous,,,107.169.162.3,0,5/3/16 14:40,5/3/16 14:46,1,200713,2,,1,,,,,,,,,,1,4,1,2,2,3,4,1,3,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7743988,-86.10970306,-1
R_9FuPBz5vcVdKgmx,Default Response Set,Anonymous,,,173.90.204.134,0,5/3/16 14:42,5/3/16 14:47,1,200716,2,,1,,,,,,,,,,1,5,4,4,4,4,4,5,5,5,4,9,,5,6,2,1,3,2,1,3,4,7,2,2,1,7,7,7,3,3,1,3,2,6,7,2,3,7,4,4,7,4,7,2,6,6,5,5,6,4,5,7,online,1,,,,,,4,1,,,,,,,,,,3,3,3,3,3,3,3,3,3,4,7,7,7,7,7,7,4,2,3,3,3,4,1,6,1,1,,36,24,4,,2,1,,,,,,,41.06210327,-81.74510193,-1
R_77Eu12nMjE7TKlL,Default Response Set,Anonymous,,,50.157.96.12,0,5/3/16 14:47,5/3/16 14:48,1,200732,2,,2,,,,,,,,,,1,8,2,2,2,3,2,5,5,5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.09379578,-93.00229645,-1
R_8B3UOIVAw2Ssyrz,Default Response Set,Anonymous,,,70.106.181.201,0,5/3/16 14:39,5/3/16 14:49,1,200712,2,,1,,,,,,,,,,1,8,3,1,3,3,4,5,5,5,4,9,,5,5,3,4,3,3,3,3,4,4,3,4,4,4,5,4,5,4,3,4,3,5,5,3,2,4,3,6,5,1,4,2,5,6,2,1,2,6,5,7,Costco,4,,,,,,,,,,,,,,,3,1,3,1,3,1,1,2,1,3,1,5,,,,,,,2,2,2,2,3,2,1,5,6,2,1,48,57,7,1 year college,2,1,,,,,,,39.04570007,-78.2276001,-1
R_2rDMkzzVWkWG0nj,Default Response Set,Anonymous,,,24.158.25.194,0,5/3/16 14:42,5/3/16 14:49,1,200718,2,,1,,,,,,,,,,1,4,1,1,1,1,1,5,5,5,2,9,,5,5,5,3,7,5,3,4,4,5,4,7,4,4,5,4,6,5,3,6,5,5,7,3,2,5,7,7,5,7,6,2,6,7,5,2,3,5,6,3,,2,,,,5,1,,,,,,,,,,,,2,3,2,1,1,1,2,3,2,5,,,,,,,2,2,2,2,4,2,2,1,4,2,1,51,19,4,,2,1,,,,,,,46.77479553,-92.10839844,-1
R_bI3ALxXPLu6a4QZ,Default Response Set,Anonymous,,,74.115.209.153,0,5/3/16 14:47,5/3/16 14:49,1,200730,2,,1,,,,,,,,,,1,4,1,1,2,1,1,2,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.80729675,-117.1324005,-1
R_1ZDEihrChxSmNN3,Default Response Set,Anonymous,,,104.7.176.22,0,5/3/16 14:48,5/3/16 14:49,1,200733,1,1,2,,,,,,,,,,1,8,5,1,5,5,5,5,5,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59579468,-90.07710266,-1
R_5onB3HKtKMuoSLr,Default Response Set,Anonymous,,,68.99.199.103,0,5/3/16 14:42,5/3/16 14:50,1,200717,2,,1,,,,,,,,,,1,5,4,2,2,2,2,5,5,5,4,9,,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,4,4,4,4,4,4,3,4,2,4,4,3,2,4,6,5,1,,1,,,,6,1,,,,,,,,,,,,3,3,3,3,3,1,2,1,3,5,,,,,,,3,3,3,3,3,3,2,6,3,1,,3,27,2,,2,1,,,,,,,33.62379456,-112.0039978,-1
R_cw0XfFFcOeIRspv,Default Response Set,Anonymous,,,97.95.111.76,0,5/3/16 14:36,5/3/16 14:50,1,200706,2,,1,,,,,,,,,,1,8,4,2,4,3,3,5,5,5,4,9,,5,4,3,5,3,5,5,5,3,3,4,3,4,3,3,3,4,3,5,4,4,4,4,5,3,3,3,4,3,1,2,2,3,6,4,3,4,4,3,7,Meijer,2,,,,,,,,4,4,4,4,3,2,1,,,1,1,1,2,1,2,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,,23,64,4,,2,1,,,,,,,42.8526001,-86.126297,-1
R_2fwUfa7H1rFCNkp,Default Response Set,Anonymous,,,172.111.255.59,0,5/3/16 14:49,5/3/16 14:51,1,200738,2,,1,,,,,,,,,,1,4,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.93539429,-77.02839661,-1
R_etFBJuUMRxrYIjX,Default Response Set,Anonymous,,,23.94.134.229,0,5/3/16 6:08,5/3/16 14:51,1,200191,2,,1,,,,,,,,,,1,5,1,1,1,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.88839722,-78.87609863,-1
R_6mpIUy8ns71CWxf,Default Response Set,Anonymous,,,74.113.40.9,0,5/3/16 14:42,5/3/16 14:51,1,200719,2,,1,,,,,,,,,,1,8,1,2,2,3,2,5,5,5,2,9,,7,6,2,3,2,1,1,4,7,5,1,3,3,6,6,5,7,4,3,4,6,7,5,4,4,5,1,3,5,2,5,2,6,7,2,5,1,4,2,1,,2,,,,,,,,,,,,,,,4,1,2,2,2,2,1,2,2,1,1,3,6,6,6,6,5,5,3,3,3,3,3,3,1,5,4,2,1,36,64,3,,2,,,,,,1,Human,39.53720093,-83.43430328,-1
R_4YKOBO5xUQ49FfT,Default Response Set,Anonymous,,,67.159.20.163,0,5/3/16 14:36,5/3/16 14:52,1,200704,2,,1,,,,,,,,1,,,4,1,1,1,1,2,5,5,2,1,9,,4,4,6,5,7,5,3,5,6,4,4,7,5,3,4,4,7,5,4,6,7,4,5,5,6,5,5,6,2,7,5,2,5,4,3,1,4,7,7,1,,1,,2,1,,,,,,,,,,,,,,2,1,1,2,1,2,1,2,2,2,2,1,3,3,2,5,1,3,2,4,3,4,1,1,5,4,3,14,16,4,,2,1,,,,,,,41.87759399,-87.62719727,-1
R_5i30YnU6KZihYJD,Default Response Set,Anonymous,,,73.192.185.44,0,5/3/16 14:45,5/3/16 14:52,1,200727,2,,1,,,,,,,,,,1,8,4,4,4,4,5,5,5,5,5,9,,7,7,4,3,6,1,1,2,6,5,4,1,4,6,6,6,7,3,2,3,6,7,5,4,4,7,2,4,6,1,5,2,6,7,3,4,2,4,3,3,,2,,,,,,6,1,,,,,,,,,,3,3,3,3,3,3,3,3,3,4,4,4,5,4,5,5,4,4,4,4,4,4,1,5,3,1,,5,50,3,,2,1,,,,,,,37.67829895,-120.9501038,-1
R_6LsMziOorOnFV3L,Default Response Set,Anonymous,,,67.87.18.227,0,5/3/16 14:34,5/3/16 14:52,1,200699,2,,1,,,,,,,,,,1,8,2,5,3,5,3,5,5,5,3,9,,7,7,6,4,4,1,2,1,5,7,3,1,4,3,5,4,5,4,2,4,3,7,6,3,2,4,5,6,6,1,5,2,5,7,2,2,4,6,3,1,,2,,,,,,,,2,2,2,2,2,2,1,,,3,3,3,3,3,3,3,3,3,4,3,2,4,4,4,3,4,3,4,4,5,3,1,6,6,2,1,31,52,4,,2,1,,,,,,,40.45399475,-74.48200226,-1
R_bKm1eCrcHwKfMax,Default Response Set,Anonymous,,,206.144.86.151,0,5/3/16 14:49,5/3/16 14:52,1,200739,2,,1,,,,,,,,,,1,4,1,1,1,1,2,3,3,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72709656,-84.57849884,-1
R_2hivZmAbIJsUbTn,Default Response Set,Anonymous,,,71.178.160.201,0,5/3/16 14:52,5/3/16 14:53,1,200743,2,,2,,,,,,,,,,1,3,5,2,5,5,5,5,5,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.05039978,-76.90550232,-1
R_781mEpthCgyh4wd,Default Response Set,Anonymous,,,70.180.55.194,0,5/3/16 14:44,5/3/16 14:53,1,200724,1,1,1,,,,,,,,,,1,8,4,2,4,3,3,5,5,5,4,9,,2,7,1,5,4,5,3,4,2,4,4,3,4,5,5,5,7,4,4,5,4,7,6,4,6,4,7,5,4,3,5,2,4,7,1,4,5,4,4,1,,4,,4,1,,,,,,,,,,,,,,2,3,3,3,2,3,3,1,3,4,4,3,3,4,4,3,3,3,3,4,3,4,2,5,2,1,,19,55,4,,2,1,,,,,,,30.5632019,-91.03500366,-1
R_1H4eQqoZsLSZG2V,Default Response Set,Anonymous,,,52.34.166.22,0,5/3/16 14:54,5/3/16 14:54,1,200748,1,1,1,,,,,,,,,,1,4,3,3,1,2,2,2,1,3,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.77879333,-119.5289993,-1
R_1TT1wNbenTRr3kV,Default Response Set,Anonymous,,,73.44.173.135,0,5/3/16 14:45,5/3/16 14:55,1,200729,2,,1,,,,,,,,,,1,6,1,1,1,1,1,5,5,5,2,9,,5,6,6,4,7,4,3,4,3,5,3,7,4,6,6,6,5,6,3,7,5,5,7,4,3,5,4,5,4,4,6,2,6,5,4,3,4,5,4,1,,2,,,,,,,,3,3,3,3,3,4,1,,,3,3,3,1,1,3,2,1,1,4,4,4,4,4,4,4,3,3,3,3,3,3,1,1,3,3,2,14,32,3,,2,1,,,,,,,41.51379395,-87.59970093,-1
R_9ykRFUTLCErAomN,Default Response Set,Anonymous,,,71.30.42.224,0,5/3/16 14:48,5/3/16 14:55,1,200735,2,,1,,,,,,,,,,1,5,3,1,3,2,5,5,5,5,3,9,,7,7,1,1,1,1,1,1,7,7,1,1,1,7,7,7,7,7,1,1,7,7,1,2,1,7,3,1,7,1,7,2,5,7,3,1,1,7,7,1,,4,,,,6,1,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,4,2,2,2,2,4,4,2,2,2,2,1,3,2,6,2,3,1,11,27,4,,2,1,,,,,,,31.70379639,-83.6753006,-1
R_0kPN3t23ndhYztj,Default Response Set,Anonymous,,,24.14.171.78,0,5/3/16 14:49,5/3/16 14:55,1,200736,2,,1,,,,,,,,,,1,3,2,2,3,2,2,5,5,5,3,9,,5,3,5,4,2,4,4,3,5,4,4,3,5,3,4,4,2,6,5,6,3,4,7,4,2,5,4,6,6,6,4,2,5,6,5,1,4,6,4,1,,5,Santander,,,,,,,,,,,,,,4,1,2,2,2,2,1,2,3,1,1,1,7,6,7,7,6,5,2,1,3,2,1,3,2,6,2,2,1,15,9,4,,1,1,,,,,,,40.4763031,-86.95709991,-1
R_0rii7htRUGzzVKl,Default Response Set,Anonymous,,,107.204.132.194,0,5/3/16 14:45,5/3/16 14:55,1,200728,2,,1,,,,,,,,,,1,2,2,1,2,1,2,5,5,5,3,9,,4,5,4,3,5,4,3,3,4,6,4,4,2,6,6,6,3,4,2,5,5,5,5,2,4,5,5,4,5,5,5,2,4,4,4,4,4,4,4,3,,4,,5,1,,,,,,,,,,,,,,1,2,2,1,1,1,2,3,1,3,7,7,7,7,7,7,3,3,4,4,4,4,2,4,5,5,1,45,3,2,,2,1,,,,,,,29.36610413,-98.37670135,-1
R_bdcpz6hAFO5hTIF,Default Response Set,Anonymous,,,173.44.2.85,0,5/3/16 14:55,5/3/16 14:56,1,200751,2,,1,,,,,,,,,,1,4,3,3,2,2,1,1,1,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.10910034,-106.5807037,-1
R_8BUCwDS03gl33Pn,Default Response Set,Anonymous,,,166.173.248.172,0,5/3/16 14:56,5/3/16 14:57,1,200752,2,,2,,,,,,,,,,1,7,3,3,3,3,5,5,5,5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.74899292,-84.38800049,-1
R_57rfdVOUNS3uu57,Default Response Set,Anonymous,,,63.141.14.99,0,5/3/16 14:44,5/3/16 14:57,1,200723,2,,1,,,1,,,,,,,,7,2,1,2,2,3,5,5,5,4,9,,4,7,4,4,5,3,4,4,2,4,4,4,5,3,5,5,7,7,4,5,6,6,4,4,2,6,3,7,6,2,5,2,4,6,4,1,4,7,6,1,,2,,,,,,4,1,,,,,,,,,,2,1,3,2,1,3,3,3,1,5,,,,,,,6,2,5,4,3,3,2,5,2,6,3,35,48,2,,2,1,,,,,,,46.21429443,-97.69470215,-1
R_0iyAsxjKIiTj2o5,Default Response Set,Anonymous,,,64.19.102.50,0,5/3/16 14:56,5/3/16 14:58,1,200753,2,,1,,,,,,,,,,1,7,5,1,3,1,5,5,5,5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.41270447,-97.07119751,-1
R_blsDcKpk1aZNmAt,Default Response Set,Anonymous,,,68.98.108.162,0,5/3/16 14:47,5/3/16 14:58,1,200731,2,,1,,,,,,,,,,1,8,2,2,2,3,4,5,5,5,2,9,,3,6,4,1,6,2,1,1,3,7,2,2,1,7,7,7,7,5,1,6,6,6,7,1,5,7,4,6,6,5,7,2,6,6,2,2,3,5,4,1,,4,,,,6,1,,,,,,,,,,,,3,3,3,1,3,3,3,3,3,2,5,5,6,7,6,6,5,5,4,6,6,5,2,5,4,3,1,3,63,2,,2,1,,,,,,,33.38609314,-111.8469009,-1
R_3yhiN5SBCWtpCNT,Default Response Set,Anonymous,,,67.87.50.172,0,5/3/16 14:49,5/3/16 14:58,1,200740,2,,1,,,,,1,,,,,,8,1,4,2,2,2,5,5,5,3,9,,6,6,3,4,5,1,3,4,5,5,2,4,3,5,4,5,4,5,3,4,3,3,6,2,2,4,4,4,5,2,3,2,5,6,5,2,2,7,6,1,,2,,1,1,,,,,,,,,,,,,,2,2,2,2,1,2,1,2,1,3,4,3,5,4,4,3,1,1,2,2,2,2,1,5,8,2,1,31,59,5,,2,1,,,,,,,40.87330627,-74.16590118,-1
R_2mGp5c2t0B5bihT,Default Response Set,Anonymous,,,50.118.145.148,0,5/3/16 14:58,5/3/16 14:59,1,200758,2,,1,,,,,,,,,,1,4,4,1,1,4,2,3,2,3,5,10,usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.77430725,-80.1937027,-1
R_2f9izm4aO7V9glT,Default Response Set,Anonymous,,,71.31.64.232,0,5/3/16 14:43,5/3/16 14:59,1,200720,2,,1,,,,,,,,,,1,7,2,2,1,1,3,5,5,5,3,9,,4,4,3,4,6,2,4,4,2,4,3,4,3,5,6,5,7,6,3,6,6,4,6,4,2,4,3,7,4,4,5,2,7,6,1,1,4,6,5,1,,1,,,,,,,,,,,,,,,4,1,3,3,3,3,3,1,2,1,3,2,3,3,3,4,4,4,3,3,4,4,4,4,2,5,2,1,,34,41,4,,2,1,,,,,,,35.33999634,-80.21080017,-1
R_dd6qadreUCQ9Bnn,Default Response Set,Anonymous,,,23.27.249.210,0,5/3/16 14:57,5/3/16 14:59,1,200756,2,,1,,,,,,,,,,1,4,1,2,1,1,2,1,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.33380127,-121.8914948,-1
R_5u4YmT4nddqmRLL,Default Response Set,Anonymous,,,108.53.125.115,0,5/3/16 14:52,5/3/16 15:01,1,200742,2,,1,,,,,,,,,,1,8,3,1,1,2,4,5,5,5,4,9,,7,5,5,5,5,4,4,5,7,4,3,3,5,3,4,4,6,5,4,7,5,5,6,5,4,4,5,5,4,4,4,2,5,7,4,1,5,6,6,1,,2,,,,,,4,1,,,,,,,,,,2,1,3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,5,6,2,1,31,56,4,,2,1,,,,,,,40.82400513,-74.36869812,-1
R_cOOrQdabXNRMXeR,Default Response Set,Anonymous,,,68.108.26.239,0,5/3/16 14:51,5/3/16 15:01,1,200741,2,,1,,,,,,,,,,1,6,2,1,3,2,2,5,5,5,1,9,,5,5,4,5,5,5,6,3,5,4,3,7,5,3,1,2,5,6,5,5,3,5,3,5,1,2,6,7,3,3,4,2,4,7,5,1,2,7,6,1,,1,,,,,,,,1,1,1,1,1,1,1,,,2,1,2,1,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,2,1,29,39,4,,2,1,,,,,,,36.17199707,-115.2093964,-1
R_9tVqq6RmZQ2AxBX,Default Response Set,Anonymous,,,68.101.171.185,0,5/3/16 14:44,5/3/16 15:01,1,200722,2,,1,,,,,,,,,,1,7,2,1,3,1,4,5,5,5,2,9,,7,5,3,1,6,3,1,1,2,7,2,5,2,7,6,7,6,4,1,6,3,5,4,1,2,7,6,4,7,4,6,2,3,5,5,1,4,6,4,1,,1,,,,,,,,1,2,1,1,1,2,1,,,2,3,3,2,1,2,1,1,1,3,7,6,7,7,6,5,4,3,4,3,2,3,1,5,5,3,1,5,41,4,,2,,1,,,,,,32.97749329,-117.023201,-1
R_abNuXrrFdgX52O9,Default Response Set,Anonymous,,,69.242.244.153,0,5/3/16 14:53,5/3/16 15:01,1,200744,2,,1,,,,,,,,,,1,7,2,1,3,1,3,5,4,5,2,9,,4,5,5,3,5,4,4,5,4,5,5,3,3,4,6,4,6,5,5,5,5,5,5,5,5,6,5,4,6,3,4,2,4,5,4,5,4,5,5,1,,1,,,,4,1,,,,,,,,,,,,2,3,3,3,1,3,1,3,1,4,4,3,4,5,6,2,2,2,4,2,3,4,1,2,4,2,1,10,42,4,,2,1,,,,,,,26.18499756,-81.76300049,-1
R_cMTBili1ZivPmGp,Default Response Set,Anonymous,,,12.220.49.66,0,5/3/16 14:54,5/3/16 15:01,1,200749,2,,1,,,,,,,,,,1,5,3,3,4,3,4,5,5,5,5,9,,7,5,3,4,5,3,3,4,5,5,3,2,4,4,5,5,7,4,4,5,6,5,5,4,4,6,1,4,6,1,6,2,6,6,3,3,4,5,4,1,,1,,,,,,2,1,,,,,,,,,,2,1,2,2,1,2,1,2,1,5,,,,,,,3,3,3,3,3,3,2,1,3,1,,11,24,4,,2,1,,,,,,,33.54870605,-84.40239716,-1
R_1FwJQiSgufRBWYZ,Default Response Set,Anonymous,,,50.118.198.61,0,5/3/16 15:03,5/3/16 15:04,1,200763,2,,1,,,,,,,,,,1,4,1,1,2,1,1,3,3,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.33380127,-121.8914948,-1
R_0cdvrJPPkQ8l06F,Default Response Set,Anonymous,,,67.5.27.56,0,5/3/16 14:48,5/3/16 15:04,1,200734,2,,1,,,,,1,,,,,,8,2,1,2,2,2,5,5,5,3,9,,7,7,4,3,5,1,4,4,5,6,3,5,3,5,5,5,6,5,3,5,7,5,5,3,2,5,3,4,6,2,5,2,7,7,1,5,2,5,4,1,,2,,,,,,,,,,,,,,,2,1,2,1,2,2,1,2,1,1,1,3,4,3,4,3,4,4,3,3,3,3,4,4,1,5,7,2,1,24,57,4,,2,1,,,,,,,44.04789734,-93.22599792,-1
