V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.8_TEXT,Q11.9,Q11.10_1,Q11.10_2,Q11.10_3,Q11.10_4,Q11.10_5,Q11.10_6,Q11.10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,RID
R_9mKO8elaFbn4BzT,Default Response Set,Anonymous,,,71.251.100.61,0,5/3/2016 12:30,5/3/2016 12:41,1,200506,2,,1,,,,,,,,,,1,6,3,1,1,2,4,5,5,5,3,9,,5,7,1,3,5,1,2,2,4,6,2,1,2,5,5,6,7,4,2,6,5,4,7,2,4,5,1,7,5,1,6,2,5,7,2,2,6,5,4,1,,1,,4,1,,,,,,,,,,,,,,2,2,2,2,1,2,1,1,1,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,4,4,3,10,31,4,,2,1,,,,,,,27.78660583,-82.14399719,-1,
R_9GNIAz0LEwop20R,Default Response Set,Anonymous,,,70.40.228.10,0,5/3/2016 12:31,5/3/2016 12:48,1,200507,2,,1,,,,,,,,,,1,8,2,2,3,2,5,5,5,5,3,9,,4,5,4,3,6,4,2,4,2,5,4,2,5,5,5,4,5,5,4,6,5,5,6,3,5,5,5,6,5,1,4,2,3,6,4,3,4,5,5,1,,2,,4,1,,,,,,,,,,,,,,2,2,2,1,2,1,1,1,3,5,,,,,,,3,3,4,4,3,3,2,2,3,2,1,51,56,2,,2,1,,,,,,,44.67520142,-88.2888031,-1,
R_1FE7NyqmYGUOlqB,Default Response Set,Anonymous,,,162.232.124.111,0,5/3/2016 12:42,5/3/2016 12:49,1,200526,2,,1,,,,,,,,,,1,8,2,1,1,1,5,5,5,5,4,9,,6,7,2,4,6,1,2,3,5,5,2,3,3,4,5,5,7,4,3,5,7,4,5,3,3,6,1,4,6,1,5,2,7,7,3,4,1,4,4,1,,1,,6,1,,,,,,,,,,,,,,2,3,3,1,1,3,3,3,3,4,6,4,6,4,4,4,3,3,3,3,4,2,2,3,5,2,1,11,54,3,,2,1,,,,,,,34.05599976,-84.37950134,-1,
R_cHIMj6VEXYXi7Nr,Default Response Set,Anonymous,,,74.79.212.183,0,5/3/2016 12:49,5/3/2016 12:57,1,200537,2,,1,,,,,,,,,,1,7,2,2,3,1,4,5,5,5,3,9,,1,1,4,5,6,7,4,5,1,3,5,5,4,3,4,4,5,5,4,4,3,3,5,4,2,4,7,6,4,2,4,2,1,5,4,3,5,4,4,1,,1,,4,1,,,,,,,,,,,,,,2,1,2,1,1,2,1,2,2,4,4,3,4,4,4,4,3,3,3,3,3,3,1,1,6,2,1,10,43,4,,2,1,,,,,,,42.91290283,-76.56590271,-1,
R_cBXBdCdgCWb5WjH,Default Response Set,Anonymous,,,75.86.142.81,0,5/3/2016 12:54,5/3/2016 13:02,1,200546,2,,1,,,,,,,,,,1,8,3,1,3,1,3,5,5,5,4,9,,6,7,3,2,1,1,1,2,6,6,3,1,3,6,6,5,4,5,2,1,5,5,5,3,4,6,3,3,6,1,5,2,6,6,1,2,3,4,5,3,,2,,7,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,3,7,7,7,7,7,7,3,3,3,4,4,3,2,5,3,1,,51,59,5,,2,1,,,,,,,43.04910278,-88.00260162,-1,
R_819YKJmE5Ubp5Gd,Default Response Set,Anonymous,,,67.172.230.65,0,5/3/2016 12:54,5/3/2016 13:08,1,200550,2,,1,,,,,,,,,,1,7,3,2,3,3,3,5,5,5,3,9,,1,5,4,4,7,4,4,4,1,4,4,7,6,4,4,4,7,7,4,7,7,4,4,4,1,4,7,7,4,4,1,2,7,7,4,1,7,7,7,1,,1,,4,1,,,,,,,,,,,,,,3,3,3,1,1,3,3,3,1,5,,,,,,,1,1,1,1,1,1,1,6,1,2,1,46,45,3,,2,1,,,,,,,40.55979919,-111.9664993,-1,
R_1NrfYzNSJHTGHIx,Default Response Set,Anonymous,,,24.95.185.41,0,5/3/2016 13:07,5/3/2016 13:13,1,200565,2,,1,,,1,,,,,,,,5,4,4,4,4,4,5,5,5,4,9,,7,7,1,1,6,1,1,1,7,7,1,3,3,7,7,7,6,3,1,1,6,6,6,1,2,7,1,1,7,1,7,2,7,7,1,5,1,5,3,1,,2,,1,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,2,2,4,2,1,4,1,2,2,1,,18,24,7,trade school,2,1,,,,,,,38.47950745,-82.66020203,-1,
R_9XJWMIGpxiVmknP,Default Response Set,Anonymous,,,162.218.182.3,0,5/3/2016 13:11,5/3/2016 13:20,1,200574,2,,1,,1,,,,,,,,,8,3,2,3,3,3,5,5,5,3,9,,5,7,5,3,7,3,2,3,6,6,4,6,4,5,5,5,7,4,3,7,6,6,7,3,4,5,5,5,5,6,5,2,5,6,5,2,6,6,4,1,,1,,5,1,,,,,,,,,,,,,,2,3,2,1,1,2,2,3,1,4,5,5,5,5,5,5,3,3,3,3,3,3,2,2,2,1,,13,63,5,,2,1,,,,,,,47.72940063,-116.7566986,-1,
R_emVkwtbWryd1Jit,Default Response Set,Anonymous,,,73.223.145.87,0,5/3/2016 13:19,5/3/2016 13:31,1,200590,2,,1,,,,,,,,,,1,8,3,1,2,3,3,5,5,5,2,9,,4,5,4,5,6,4,4,4,4,3,3,3,5,4,4,5,5,6,3,5,5,3,5,4,2,4,3,5,5,3,5,2,4,6,2,2,4,7,6,1,,4,,2,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,4,4,5,3,3,2,2,5,4,2,1,5,50,2,,2,1,,,,,,,37.90629578,-122.0650024,-1,
R_eRMfFPhiqzlFVL7,Default Response Set,Anonymous,,,66.234.201.79,0,5/3/2016 13:25,5/3/2016 13:34,1,200602,2,,1,,,,,,,,,,1,8,3,1,4,3,4,5,5,5,3,9,,2,3,3,3,3,6,6,2,1,2,6,3,5,2,4,4,6,7,4,2,5,5,1,5,7,3,6,7,2,1,2,2,2,6,4,1,7,7,5,1,,1,,1,1,,,,,,,,,,,,,,2,1,3,1,1,2,1,3,3,4,2,2,4,2,2,2,1,1,2,1,4,4,2,5,6,2,1,5,61,4,,2,1,,,,,,,37.91369629,-122.0117035,-1,
R_0rqawtKCUG7j27z,Default Response Set,Anonymous,,,69.155.128.89,0,5/3/2016 13:36,5/3/2016 13:42,1,200620,2,,1,,,,,,,,,,1,8,3,3,2,3,1,5,5,4,3,9,,5,7,3,4,7,2,3,5,4,5,2,6,4,5,5,5,4,4,3,7,5,6,6,5,4,4,2,3,5,3,5,2,7,7,3,2,4,5,5,1,,4,,5,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,3,6,4,6,6,6,6,2,3,3,3,3,2,2,5,5,2,1,45,58,4,,2,1,,,,,,,29.80479431,-95.49089813,-1,
R_251Rc1TUC0cVnj7,Default Response Set,Anonymous,,,24.209.19.63,0,5/3/2016 13:41,5/3/2016 13:48,1,200630,2,,1,,,,,,,,,,1,5,2,1,1,1,1,5,5,5,2,9,,6,6,5,4,7,2,4,4,5,2,3,6,4,4,4,4,6,5,4,6,6,5,6,5,2,5,4,5,5,6,5,2,3,5,3,2,5,6,5,1,,1,,6,1,,,,,,,,,,,,,,2,2,2,1,1,2,2,2,1,2,6,6,6,5,4,5,2,2,2,1,3,3,2,1,7,4,3,36,28,4,,2,1,,,,,,,39.2447052,-84.34729767,-1,
R_81VNHuJtwj6NmWp,Default Response Set,Anonymous,,,153.31.112.21,0,5/3/2016 14:05,5/3/2016 14:16,1,200660,2,,1,,1,,,,,,,,,7,3,1,1,1,2,5,5,5,3,9,,5,5,4,3,6,3,2,3,5,5,4,3,3,5,5,5,5,5,1,5,4,5,5,4,3,5,6,3,5,3,5,2,5,5,4,3,5,4,4,3,,4,,6,1,,,,,,,,,,,,,,2,2,2,2,1,3,3,1,3,1,7,4,6,5,5,6,4,4,4,4,4,4,1,1,8,2,1,44,44,5,,2,,,,,,1,Italian,38.89509583,-77.03639984,-1,
R_0kv9ZbBfpAa4sOF,Default Response Set,Anonymous,,,71.183.161.98,0,5/3/2016 14:18,5/3/2016 14:29,1,200677,2,,1,,,,,,,,,,1,7,2,5,1,2,4,5,5,5,2,9,,3,7,5,4,4,1,2,4,4,7,3,5,3,5,5,5,7,5,3,5,7,5,4,4,3,7,5,5,5,4,6,2,7,7,3,1,5,7,5,1,,1,,4,1,,,,,,,,,,,,,,2,3,3,3,1,1,2,3,1,2,2,2,2,2,2,1,3,3,4,4,3,3,1,1,6,1,,33,48,6,,2,1,,,,,,,41.48719788,-73.59020233,-1,
R_0rckBNEevfHRd9H,Default Response Set,Anonymous,,,209.179.76.53,0,5/3/2016 14:30,5/3/2016 14:39,1,200692,2,,1,,,,,,,,,,1,8,2,2,1,2,2,5,5,5,2,9,,4,2,6,4,6,7,4,4,1,4,6,5,5,3,4,4,4,6,4,5,3,3,5,4,1,5,7,6,5,1,5,2,1,7,5,1,7,7,7,1,,1,,1,1,,,,,,,,,,,,,,2,1,2,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,2,1,11,63,5,,2,1,,,,,,,33.86489868,-84.42359924,-1,
R_1XKIiRDrh7Mzg1L,Default Response Set,Anonymous,,,68.2.185.111,0,5/3/2016 14:33,5/3/2016 14:42,1,200697,2,,1,,,,,,,,,,1,8,4,1,2,2,4,5,5,5,4,9,,7,7,4,2,7,3,1,2,7,5,3,4,3,4,4,4,7,7,3,6,7,4,6,3,1,7,1,7,7,1,5,2,7,7,1,4,5,5,4,1,,4,,6,1,,,,,,,,,,,,,,2,2,2,1,1,2,2,1,1,4,3,3,4,4,3,3,3,3,2,2,2,2,2,5,3,1,,3,56,2,,2,,,,1,,,,33.38330078,-112.1115036,-1,
R_4YKOBO5xUQ49FfT,Default Response Set,Anonymous,,,67.159.20.163,0,5/3/2016 14:36,5/3/2016 14:52,1,200704,2,,1,,,,,,,,1,,,4,1,1,1,1,2,5,5,2,1,9,,4,4,6,5,7,5,3,5,6,4,4,7,5,3,4,4,7,5,4,6,7,4,5,5,6,5,5,6,2,7,5,2,5,4,3,1,4,7,7,1,,1,,2,1,,,,,,,,,,,,,,2,1,1,2,1,2,1,2,2,2,2,1,3,3,2,5,1,3,2,4,3,4,1,1,5,4,3,14,16,4,,2,1,,,,,,,41.87759399,-87.62719727,-1,
R_781mEpthCgyh4wd,Default Response Set,Anonymous,,,70.180.55.194,0,5/3/2016 14:44,5/3/2016 14:53,1,200724,1,1,1,,,,,,,,,,1,8,4,2,4,3,3,5,5,5,4,9,,2,7,1,5,4,5,3,4,2,4,4,3,4,5,5,5,7,4,4,5,4,7,6,4,6,4,7,5,4,3,5,2,4,7,1,4,5,4,4,1,,4,,4,1,,,,,,,,,,,,,,2,3,3,3,2,3,3,1,3,4,4,3,3,4,4,3,3,3,3,4,3,4,2,5,2,1,,19,55,4,,2,1,,,,,,,30.5632019,-91.03500366,-1,
R_0rii7htRUGzzVKl,Default Response Set,Anonymous,,,107.204.132.194,0,5/3/2016 14:45,5/3/2016 14:55,1,200728,2,,1,,,,,,,,,,1,2,2,1,2,1,2,5,5,5,3,9,,4,5,4,3,5,4,3,3,4,6,4,4,2,6,6,6,3,4,2,5,5,5,5,2,4,5,5,4,5,5,5,2,4,4,4,4,4,4,4,3,,4,,5,1,,,,,,,,,,,,,,1,2,2,1,1,1,2,3,1,3,7,7,7,7,7,7,3,3,4,4,4,4,2,4,5,5,1,45,3,2,,2,1,,,,,,,29.36610413,-98.37670135,-1,
R_3yhiN5SBCWtpCNT,Default Response Set,Anonymous,,,67.87.50.172,0,5/3/2016 14:49,5/3/2016 14:58,1,200740,2,,1,,,,,1,,,,,,8,1,4,2,2,2,5,5,5,3,9,,6,6,3,4,5,1,3,4,5,5,2,4,3,5,4,5,4,5,3,4,3,3,6,2,2,4,4,4,5,2,3,2,5,6,5,2,2,7,6,1,,2,,1,1,,,,,,,,,,,,,,2,2,2,2,1,2,1,2,1,3,4,3,5,4,4,3,1,1,2,2,2,2,1,5,8,2,1,31,59,5,,2,1,,,,,,,40.87330627,-74.16590118,-1,
R_4PJsIXg9t7tzOFD,Default Response Set,Anonymous,,,108.215.43.30,0,5/3/2016 14:55,5/3/2016 15:05,1,200750,2,,1,,,,,,,,,,1,7,2,2,1,1,2,5,5,5,3,9,,5,5,5,5,7,4,3,3,4,5,3,5,4,4,5,5,5,4,3,6,5,5,5,5,4,5,4,5,4,6,4,2,5,6,4,3,5,5,5,1,,4,,5,1,,,,,,,,,,,,,,2,2,2,2,1,2,3,2,1,3,5,4,5,4,5,5,2,2,3,3,3,2,2,2,2,2,1,45,48,4,,2,1,,,,,,,32.73710632,-96.90550232,-1,
R_0Ajp4eTRy9MYLvT,Default Response Set,Anonymous,,,71.122.201.178,0,5/3/2016 14:58,5/3/2016 15:06,1,200760,2,,1,,,,,,,,,1,,8,2,3,3,2,2,5,5,5,2,9,,1,7,5,4,7,2,2,4,3,6,5,6,5,5,5,5,6,6,4,7,7,6,6,4,1,5,5,6,6,4,5,2,5,6,4,1,6,7,7,1,,1,,6,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,4,4,5,5,5,5,4,4,4,4,3,3,3,1,2,4,2,1,10,57,6,,2,1,,,,,,,27.71459961,-82.23220062,-1,
R_d5MjaMTE2kSSB93,Default Response Set,Anonymous,,,107.201.253.174,0,5/3/2016 14:58,5/3/2016 15:08,1,200759,2,,1,,,,,,,,,,1,6,3,1,2,3,3,5,5,5,4,9,,5,5,5,4,4,4,2,2,6,6,4,4,2,6,6,6,4,5,3,4,5,5,4,5,2,6,4,5,5,4,5,2,4,5,4,1,4,6,6,1,,2,,4,1,,,,,,,,,,,,,,3,3,3,3,1,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,2,1,,45,37,3,,2,1,,,,,,,29.82620239,-95.42639923,-1,
R_9XYY4ssifPBJLPn,Default Response Set,Anonymous,,,99.68.146.243,0,5/3/2016 15:16,5/3/2016 15:20,1,200778,2,,1,,,,,,,,,,1,4,3,2,2,2,2,5,5,5,3,9,,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,5,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,5,1,,2,,4,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,3,3,3,3,3,3,2,1,3,1,,5,14,3,,2,1,,,,,,,33.79190063,-118.3184052,-1,
R_1ZmOWOjoxXoH85n,Default Response Set,Anonymous,,,131.193.240.244,0,5/3/2016 15:20,5/3/2016 15:31,1,200784,2,,1,,,,,,,,,,1,2,2,1,2,3,3,5,5,5,3,9,,2,6,2,2,4,2,3,2,2,6,1,6,5,7,7,7,5,3,2,6,5,3,6,3,3,7,2,6,7,5,6,2,6,6,2,2,4,6,5,1,,1,,4,1,,,,,,,,,,,,,,2,2,2,1,2,1,2,1,2,2,7,7,7,7,7,7,3,3,3,3,3,3,2,4,5,4,1,14,5,2,,2,1,,,,,,,41.87840271,-87.68520355,-1,
R_1X1VA6rEVYy2HJj,Default Response Set,Anonymous,,,107.130.245.39,0,5/3/2016 15:22,5/3/2016 15:42,1,200789,2,,1,,,,,,,,,,1,3,4,2,4,3,4,5,5,5,4,9,,4,5,4,3,5,4,4,5,4,3,4,3,5,3,4,3,4,5,4,5,3,3,4,5,3,4,3,5,6,2,4,2,5,5,4,3,4,4,3,1,,4,,2,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,4,4,3,4,3,5,4,3,5,4,4,5,3,1,4,4,3,1,34,8,2,,2,1,,,,,,,35.74630737,-78.72389984,-1,
R_3OvBzHaZYilgWix,Default Response Set,Anonymous,,,68.193.213.0,0,5/3/2016 15:21,5/3/2016 15:49,1,200787,2,,1,,,,,,,,,,1,7,1,1,1,1,1,5,5,5,2,9,,5,7,7,5,6,5,4,5,5,5,5,7,4,5,4,4,7,7,4,6,7,7,6,4,5,4,6,6,5,6,6,2,6,7,3,1,6,6,7,3,,2,,3,1,,,,,,,,,,,,,,2,1,2,1,1,2,1,1,2,3,2,2,2,2,2,2,3,3,3,3,3,3,2,5,5,6,3,31,43,4,,2,,,1,,,,,40.67610168,-74.57299805,-1,
R_aaXxDlsLXjO7Poh,Default Response Set,Anonymous,,,72.240.195.119,0,5/3/2016 15:50,5/3/2016 15:56,1,200825,2,,1,,,,,,,,,,1,8,3,4,4,5,5,5,5,5,5,9,,,6,6,2,6,4,2,3,7,,5,4,2,7,6,6,6,5,3,5,6,6,6,3,6,,6,6,2,1,6,2,6,6,4,5,5,6,3,1,,1,,4,1,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,2,3,2,5,5,2,5,1,1,,36,54,3,,2,1,,,,,,,41.60180664,-83.56040192,-1,
R_bPZRNx4N2gITF3f,Default Response Set,Anonymous,,,108.171.131.161,0,5/3/2016 15:56,5/3/2016 16:05,1,200832,2,,1,,,,,,,,,,1,4,3,2,2,1,3,5,5,5,4,9,,7,7,3,3,5,5,1,1,6,5,1,5,5,6,5,6,6,3,5,5,6,5,5,3,4,6,6,3,6,1,6,2,6,6,4,1,3,6,5,1,,4,,3,1,,,,,,,,,,,,,,2,1,2,1,1,2,1,1,1,5,,,,,,,3,2,3,3,3,3,2,1,5,3,2,44,17,2,,2,1,,,,,,,42.01519775,-87.99009705,-1,
R_8tPEuvRkYZKQRBb,Default Response Set,Anonymous,,,50.108.179.169,0,5/3/2016 16:15,5/3/2016 16:22,1,200855,2,,1,,,,,,,,,,1,7,1,1,2,3,2,5,5,5,4,9,,1,1,4,3,7,7,2,3,1,5,1,6,4,4,5,5,3,5,3,7,1,5,5,3,4,5,4,6,5,6,5,2,1,2,6,2,1,5,5,1,,2,,4,1,,,,,,,,,,,,,,2,2,2,2,2,1,3,3,1,5,,,,,,,3,3,2,3,2,3,2,5,1,2,1,33,49,2,,2,1,,,,,,,43.18190002,-77.64009857,-1,
R_8cr9H64nthnIdDv,Default Response Set,Anonymous,,,67.235.174.126,0,5/3/2016 16:17,5/3/2016 16:30,1,200857,2,,1,,,,,,,,,,1,7,2,2,2,3,3,5,5,5,3,9,,4,5,4,5,3,4,6,6,5,4,5,4,3,4,4,5,4,5,4,4,4,4,5,4,1,5,4,4,4,1,5,2,4,4,4,1,5,7,6,1,,2,,4,1,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,5,,,,,,,1,1,4,4,4,4,2,6,2,2,1,10,43,2,,2,1,,,,,,,30.63670349,-86.66349792,-1,
R_0vxFtgKx0hXd8Ql,Default Response Set,Anonymous,,,184.101.27.45,0,5/3/2016 16:22,5/3/2016 16:31,1,200865,2,,1,,,,,,,,,,1,8,4,3,4,4,4,5,5,5,4,9,,2,5,5,5,5,5,3,4,2,4,5,3,5,4,4,4,4,5,4,4,4,4,4,5,2,5,5,4,4,2,4,2,3,5,5,2,5,5,5,7,Costco,1,,2,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,4,4,3,3,3,3,3,4,3,3,3,3,3,1,5,3,1,,3,58,4,,2,1,,,,,,,33.50909424,-112.0264969,-1,
R_2gaGHZ16tz0PwMd,Default Response Set,Anonymous,,,75.135.53.88,0,5/3/2016 16:25,5/3/2016 16:32,1,200869,2,,1,,,,,,,,,,1,8,2,2,2,2,2,5,5,5,3,9,,3,4,4,4,4,5,3,4,3,4,5,2,4,3,4,5,4,5,3,4,3,4,4,3,3,5,5,6,4,2,3,2,3,5,4,3,4,5,4,1,,2,,2,1,,,,,,,,,,,,,,2,3,2,2,1,2,1,1,1,3,4,3,3,3,4,4,3,3,4,3,4,4,1,5,2,2,1,28,60,2,,2,1,,,,,,,40.96820068,-95.94000244,-1,
R_9mY0jERCQP00UAZ,Default Response Set,Anonymous,,,107.137.226.240,0,5/3/2016 16:27,5/3/2016 16:38,1,200872,2,,1,,,,,,,,,,1,7,1,2,4,2,4,5,5,5,3,9,,6,7,2,3,4,1,2,3,7,6,1,3,3,6,7,7,4,2,3,4,6,6,5,3,4,5,3,4,5,3,5,2,7,7,4,4,1,4,4,1,,4,,7,1,,,,,,,,,,,,,,3,3,3,3,1,3,3,3,1,3,7,7,7,7,7,7,4,4,4,4,4,4,1,7,1,1,,10,47,4,,2,1,,,,,,,30.334198,-81.58229828,-1,
R_ezL93uSjLN3mYol,Default Response Set,Anonymous,,,98.111.97.193,0,5/3/2016 16:50,5/3/2016 16:58,1,200889,2,,1,,,,,,,,,,1,8,1,1,2,2,4,5,5,5,3,9,,6,7,1,4,5,1,3,2,6,4,3,2,3,4,4,4,7,5,3,4,5,6,6,3,3,4,3,3,4,4,5,2,6,7,3,2,3,5,5,1,,2,,6,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,3,6,5,5,5,5,6,1,1,2,1,2,1,1,5,3,3,1,39,53,3,,2,1,,,,,,,39.96260071,-76.72769928,-1,
R_73bA8mN8Bhw5NnD,Default Response Set,Anonymous,,,98.191.132.166,0,5/3/2016 16:56,5/3/2016 17:02,1,200895,2,,1,1,1,,,,,,,,,2,3,1,1,1,2,5,5,5,3,9,,5,7,4,1,5,1,1,1,5,7,3,5,1,7,7,7,7,5,1,5,7,7,3,2,4,7,3,7,7,3,7,2,6,7,2,2,1,5,6,1,,4,,5,1,,,,,,,,,,,,,,2,2,2,1,1,1,2,1,1,4,5,2,4,6,6,6,2,2,3,3,3,2,2,2,6,4,1,17,4,2,,2,1,,,,,,,37.66830444,-97.27729797,-1,
R_bDhRBmZugJI2Ijr,Default Response Set,Anonymous,,,73.224.237.253,0,5/3/2016 15:27,5/3/2016 17:03,1,200799,2,,1,,,,,,,,,,1,8,2,2,2,2,2,5,5,5,2,9,,6,7,6,5,7,1,6,5,6,7,7,6,5,4,6,7,6,7,6,5,6,6,7,7,7,7,6,7,4,6,5,2,6,7,7,6,7,5,6,1,,4,,2,1,,,,,,,,,,,,,,2,1,2,1,1,2,1,2,2,5,,,,,,,1,1,1,2,1,4,1,1,3,2,1,10,27,2,,2,1,,,,,,,30.26559448,-81.77799988,-1,
R_bD7HidaqdLOA3Jz,Default Response Set,Anonymous,,,66.19.94.225,0,5/3/2016 16:39,5/3/2016 17:38,1,200881,2,,1,,,,,1,,,,,,8,1,1,3,2,3,5,5,5,3,9,,5,4,4,4,3,4,4,4,6,5,4,3,4,4,4,5,4,5,4,3,4,3,5,4,3,4,5,5,5,3,4,2,3,5,5,2,4,5,5,1,,1,,4,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,3,4,3,3,4,4,4,2,2,3,3,3,3,2,2,4,2,1,39,52,5,,2,1,,,,,,,40.0901947,-75.39369965,-1,
R_bJibSXhuJem6YQZ,Default Response Set,Anonymous,,,108.3.221.102,0,5/3/2016 17:29,5/3/2016 17:39,1,200924,2,,1,,,,,,,,,,1,7,1,1,2,1,3,5,5,5,3,9,,5,6,2,5,7,3,2,2,2,5,2,7,4,5,5,5,7,5,2,7,6,7,7,2,2,6,2,5,5,4,4,2,2,7,5,2,5,6,7,1,,1,,2,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,2,2,1,3,3,2,2,2,3,5,5,5,3,1,1,7,5,3,21,45,5,,2,1,,,,,,,39.38169861,-76.72650146,-1,
R_2nM2s9z2xAhkPPv,Default Response Set,Anonymous,,,71.177.13.120,0,5/3/2016 17:35,5/3/2016 17:49,1,200933,2,,1,,,,,,,,,,1,6,2,1,3,4,4,5,5,4,3,9,,7,7,1,1,2,1,1,1,7,7,7,1,1,7,7,7,7,6,1,5,7,7,6,1,6,7,1,7,7,1,7,2,7,7,1,4,4,4,4,1,,1,,7,1,,,,,,,,,,,,,,3,3,3,1,3,3,3,3,3,4,7,7,7,7,7,7,4,2,6,6,6,6,2,3,1,2,1,5,40,2,,2,1,,,1,,,,34.66470337,-117.5121002,-1,
R_ewCde7SjIw6Yo8B,Default Response Set,Anonymous,,,192.104.123.172,0,5/3/2016 18:00,5/3/2016 18:06,1,200954,2,,1,1,,,,,,,,,,5,3,2,3,3,4,5,5,5,4,9,,2,4,3,5,5,7,3,6,6,4,5,5,5,4,6,5,6,5,4,6,6,7,6,5,5,5,3,7,5,5,4,2,2,6,3,2,4,5,4,1,,2,,2,1,,,,,,,,,,,,,,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,2,2,3,2,1,1,1,2,6,3,3,2,14,23,3,,2,1,,,,,,,39.42999268,-88.61070251,-1,
R_e5tL6CsjeQ5dIKV,Default Response Set,Anonymous,,,23.28.139.248,0,5/3/2016 18:11,5/3/2016 18:19,1,200962,2,,1,,,,,,,,,,1,6,4,4,2,4,4,5,4,5,4,9,,6,6,6,3,6,6,3,2,5,5,5,5,3,5,5,3,5,3,2,6,6,7,7,4,6,6,6,7,6,1,6,2,6,7,6,2,5,5,5,1,,2,,5,1,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,5,,,,,,,2,1,3,3,3,3,2,5,1,1,,36,39,2,,2,1,,,,,,,41.39909363,-81.60739899,-1,
R_eLs2ncRE1Y9XiYJ,Default Response Set,Anonymous,,,72.48.65.44,0,5/3/2016 18:14,5/3/2016 18:24,1,200966,2,,1,,,,,,,,,,1,8,3,4,4,3,4,5,5,5,3,9,,5,7,7,3,7,5,3,3,1,7,2,6,3,6,6,7,5,6,2,7,5,7,5,3,1,6,6,3,6,1,6,2,5,3,5,2,7,7,7,1,,1,,1,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,2,4,3,3,3,3,3,3,3,3,3,3,3,1,5,1,1,,45,53,5,,2,1,,,,,,,29.46220398,-98.48930359,-1,
R_24D1Bgpfq2rPs4R,Default Response Set,Anonymous,,,67.252.35.210,0,5/3/2016 18:18,5/3/2016 18:28,1,200975,1,1,1,,,,,,,,,,1,4,3,1,3,3,4,5,5,5,3,9,,4,5,4,3,5,4,2,2,4,5,3,4,3,5,6,5,6,2,2,5,5,5,4,2,6,6,1,4,5,1,6,2,5,6,1,6,4,3,2,1,,5,na,4,1,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,5,,,,,,,6,6,4,6,6,5,2,3,3,4,3,22,18,1,,2,1,,,,,,,42.68809509,-73.06300354,-1,
