V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.7,Q11.8,Q11.8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
R_5nchvEti9zRsCvb,Default Response Set,Anonymous,,,88.26.172.186,0,5/5/2016 16:15,5/5/2016 16:22,1,600242,2,,1,,,,,,,,,,1,4,1,1,1,1,1,5,5,5,3,5,,6,6,2,4,4,3,4,4,4,4,3,1,4,4,4,4,6,4,4,5,6,5,6,4,2,4,2,6,4,3,4,2,5,7,3,4,3,6,3,1,,2,,,,,,,,2,2,2,2,2,4,1,,,3,3,3,1,1,3,2,3,1,5,,,,,,,2,2,2,3,4,4,2,1,1,2,1,16,2,,36.42759705,-5.145904541,-1
R_1G2XAgrr0b7Tgqh,Default Response Set,Anonymous,,,47.61.8.214,0,5/5/2016 16:16,5/5/2016 16:23,1,600249,2,,1,,,,,,,,,,1,6,1,1,2,1,3,5,5,5,3,5,,1,1,2,2,5,1,1,1,2,1,1,4,1,1,7,1,3,5,1,6,7,6,7,1,3,6,6,6,6,5,6,2,6,6,3,5,3,3,4,1,,2,,,,6,1,,,,,,,,,,,,2,2,2,1,1,1,2,1,1,5,,,,,,,2,2,2,2,2,2,1,1,4,4,3,37,2,,43.30740356,-3.0572052,-1
R_0Pd6ADQCqnnvT25,Default Response Set,Anonymous,,,88.17.69.155,0,5/5/2016 16:15,5/5/2016 16:23,1,600247,2,,1,,,,,,,,,,1,7,1,1,1,1,1,5,5,5,1,5,,6,6,5,2,6,4,1,2,4,6,1,5,2,6,7,7,7,5,2,6,6,7,6,2,4,7,4,3,7,6,7,2,6,6,3,3,4,5,4,6,,1,,,,,,,,,,,,,,,5,1,3,3,3,1,1,3,2,3,1,4,4,4,4,4,4,4,3,3,3,3,4,3,2,2,4,4,1,44,2,,38.02609253,-1.114395142,-1
R_6yELe1b9P8TwKkR,Default Response Set,Anonymous,,,90.175.34.199,0,5/5/2016 16:15,5/5/2016 16:23,1,600248,2,,1,,,,,,,,,,1,5,2,1,2,1,3,5,5,5,3,5,,5,5,4,3,6,4,1,2,3,5,3,6,3,5,6,6,6,6,2,6,6,5,6,4,2,6,3,6,6,6,5,2,5,7,3,1,4,6,6,1,,1,,,,,,2,1,,,,,,,,,,2,1,3,1,1,3,1,1,1,5,,,,,,,2,2,3,3,4,4,2,1,3,4,3,24,2,,43.3493042,-4.05279541,-1
R_5i1DhjceKtYsSEJ,Default Response Set,Anonymous,,,90.94.210.103,0,5/5/2016 16:14,5/5/2016 16:23,1,600231,2,,1,,,,,,,,,,1,5,1,1,1,3,5,5,5,5,3,5,,6,6,3,1,4,3,1,1,5,7,1,1,1,7,7,7,6,4,1,4,6,6,5,1,3,7,4,6,7,3,6,2,5,4,4,3,4,5,5,1,,3,,,,4,1,,,,,,,,,,,,2,1,1,1,1,2,2,2,1,5,,,,,,,4,4,4,4,3,3,1,1,2,3,2,28,4,,40.41720581,-3.684005737,-1
R_a8XpQ6IHGps7Fqt,Default Response Set,Anonymous,,,213.143.50.74,0,5/5/2016 16:16,5/5/2016 16:24,1,600252,2,,1,,,1,,,,,,,,4,2,3,1,1,3,2,5,5,3,5,,5,5,3,3,6,2,2,4,4,5,3,5,4,4,5,4,7,4,4,7,5,4,7,5,2,5,3,2,5,4,5,2,5,6,1,5,3,5,5,1,,3,,3,1,,,,,,,,,,,,,,2,2,3,1,1,2,2,3,1,4,6,6,6,7,7,7,1,2,4,4,3,3,2,1,3,2,1,20,3,,40.41650391,-3.702606201,-1
R_838r2OGQgxrBboh,Default Response Set,Anonymous,,,37.35.186.175,0,5/5/2016 16:15,5/5/2016 16:24,1,600243,2,,1,,,,,,,,,,1,6,2,1,2,1,4,5,5,5,3,5,,4,4,4,1,5,6,1,1,4,6,4,3,1,7,7,7,4,5,2,6,4,4,4,1,3,7,4,4,7,3,5,2,4,4,4,4,5,5,5,6,,1,,,,,,4,1,,,,,,,,,,2,2,2,2,2,2,2,1,1,5,,,,,,,2,2,2,2,3,3,1,1,1,2,1,32,2,,41.65519714,-4.723693848,-1
R_d6FOQNQ76uPu0F7,Default Response Set,Anonymous,,,84.127.222.213,0,5/5/2016 16:18,5/5/2016 16:24,1,600264,2,,1,,,,,,,,,,1,5,1,1,1,1,2,5,5,5,1,5,,7,6,7,6,7,6,7,7,6,6,7,6,6,1,4,3,7,7,3,7,5,6,6,6,1,5,6,6,5,7,6,2,6,5,7,1,1,7,7,1,,1,,,,,,,,1,1,1,1,2,2,1,,,1,1,2,2,1,1,2,1,1,4,2,1,2,1,2,2,1,1,2,2,2,2,2,1,6,4,3,22,3,,39.66220093,-0.217498779,-1
R_8iFHjQ1X93c6AoB,Default Response Set,Anonymous,,,83.32.211.192,0,5/5/2016 16:17,5/5/2016 16:25,1,600260,2,,1,,,,,,,,,,1,7,1,2,2,2,5,5,5,5,2,5,,6,7,2,1,7,1,1,1,5,7,2,6,2,6,7,7,7,4,2,6,7,6,7,1,4,6,4,5,6,4,6,2,6,6,1,3,2,4,4,6,,1,,,,,,,,,,,,,,,5,1,3,3,3,3,3,3,3,3,3,5,,,,,,,3,3,3,3,4,4,2,1,5,1,,43,2,,41.49229431,2.033004761,-1
R_aWvDBVZG6zmpgLr,Default Response Set,Anonymous,,,87.218.0.232,0,5/5/2016 16:17,5/5/2016 16:26,1,600254,2,,1,,,,,,,,,,1,5,1,1,1,1,3,5,5,5,3,5,,5,7,3,2,1,3,1,3,5,6,3,2,2,5,6,5,7,4,2,4,7,6,7,3,4,6,4,4,6,4,5,2,6,7,7,3,3,4,5,6,,3,,,,,,7,1,,,,,,,,,,3,3,3,1,1,1,2,3,1,5,,,,,,,3,3,4,3,5,4,1,2,3,3,1,28,4,,40.41650391,-3.702606201,-1
R_cwNvhLeknoZpzFP,Default Response Set,Anonymous,,,87.222.242.170,0,5/5/2016 16:15,5/5/2016 16:26,1,600240,2,,1,,,,,,,,,,1,5,1,1,3,1,3,5,5,5,4,5,,7,6,3,4,6,,2,1,6,7,1,4,6,6,6,7,7,7,4,4,7,7,7,1,6,5,,1,7,4,7,2,6,7,1,3,4,7,5,1,,1,,,,,,,,3,3,3,3,3,4,1,,,2,1,2,2,1,2,1,1,1,5,,,,,,,1,1,1,1,1,1,1,1,5,4,3,30,3,,40.41650391,-3.702606201,-1
R_6DtrAaoBGEexi9D,Default Response Set,Anonymous,,,188.77.130.6,0,5/5/2016 16:14,5/5/2016 16:26,1,600232,2,,1,,,,,,,,,,1,5,1,1,1,2,3,5,5,5,2,5,,6,6,2,1,6,1,2,2,4,6,2,3,3,5,6,6,7,5,1,6,6,4,7,3,2,7,3,6,7,6,7,2,6,6,2,2,2,6,6,1,,1,,3,1,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,5,,,,,,,3,2,2,2,2,2,2,6,2,4,1,22,2,,39.46670532,-0.366699219,-1
R_bNkcWWnK5J5MbbL,Default Response Set,Anonymous,,,79.158.204.133,0,5/5/2016 16:17,5/5/2016 16:26,1,600255,2,,1,,,,,,,,,,1,6,1,1,1,1,3,5,5,5,3,5,,4,5,6,4,6,4,4,4,4,4,4,4,4,4,4,4,7,6,4,5,5,4,5,4,4,4,4,6,4,4,4,2,4,6,4,1,6,6,6,1,,1,,4,1,,,,,,,,,,,,,,1,2,1,2,2,1,2,1,1,5,,,,,,,1,1,1,1,1,1,2,6,2,3,1,36,2,,37.98699951,-1.130004883,-1
R_3Jhu05qucUFYHcN,Default Response Set,Anonymous,,,89.128.52.183,0,5/5/2016 16:19,5/5/2016 16:27,1,600270,2,,1,,,,,,,,,,1,5,2,1,2,1,2,5,5,5,4,5,,7,7,5,2,7,1,,1,5,7,1,6,1,6,7,7,7,6,2,7,7,7,7,1,5,7,1,6,7,7,7,2,7,7,1,2,2,4,4,1,,3,,,,5,1,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,5,,,,,,,1,2,2,2,4,4,2,6,2,2,1,21,2,,42.33670044,-7.864105225,-1
R_4MBrOud8eEFAPfn,Default Response Set,Anonymous,,,62.42.25.138,0,5/5/2016 16:22,5/5/2016 16:27,1,600290,2,,1,,,,,,,,,,1,4,1,1,1,1,3,5,5,5,3,5,,,,,,,,1,2,6,7,2,4,2,6,6,7,7,5,1,7,7,5,7,4,6,7,4,7,7,6,7,2,7,6,1,2,6,6,5,1,,1,,4,1,,,,,,,,,,,,,,2,1,2,2,2,1,3,1,1,5,,,,,,,1,1,1,1,1,1,2,1,2,4,3,17,4,,43.46470642,-3.804397583,-1
R_01ZEb7Q3gbfZjx3,Default Response Set,Anonymous,,,83.60.11.190,0,5/5/2016 16:14,5/5/2016 16:27,1,600225,2,,1,,,,,,,,,,1,6,1,2,1,1,2,5,5,5,4,5,,6,7,3,3,1,1,2,2,6,6,2,4,4,5,6,6,7,3,3,7,7,6,7,1,5,6,4,7,4,5,4,2,7,6,1,4,3,5,3,6,,1,,,,6,1,,,,,,,,,,,,3,3,3,3,3,3,2,3,1,5,,,,,,,2,2,2,2,3,2,2,3,2,2,1,33,2,,41.98309326,2.824905396,-1
R_0vtx8acLVGj5y9T,Default Response Set,Anonymous,,,84.77.59.233,0,5/5/2016 16:17,5/5/2016 16:27,1,600257,2,,1,,,1,,,,,,,,6,1,1,1,1,2,5,5,5,3,5,,6,4,5,5,7,4,4,4,4,4,4,5,5,5,4,4,4,4,3,6,4,4,6,6,5,4,4,7,5,4,6,2,7,4,5,5,4,5,4,1,,1,,,,,,,,1,1,1,1,1,4,1,,,2,1,3,2,3,1,1,3,3,5,,,,,,,3,3,3,3,3,3,2,6,2,4,3,33,4,,41.7250061,1.826599121,-1
R_6F2hAvVpr6yhV65,Default Response Set,Anonymous,,,85.86.100.20,0,5/5/2016 16:14,5/5/2016 16:27,1,600223,2,,1,,,,,,,,,,1,5,1,1,1,1,1,5,5,5,3,5,,6,7,2,2,3,1,1,1,3,6,1,2,2,5,6,7,7,4,2,4,6,6,7,2,4,6,1,6,7,3,7,2,6,7,2,3,3,5,4,1,,2,,,,,,5,1,,,,,,,,,,3,3,3,3,3,3,2,3,1,5,,,,,,,1,2,3,3,4,4,2,1,6,3,1,25,3,,43.05409241,-2.176300049,-1
R_7Up50elaFXHBz6d,Default Response Set,Anonymous,,,90.75.156.161,0,5/5/2016 16:18,5/5/2016 16:28,1,600265,2,,1,,,,,,,1,,,,2,1,1,1,1,1,5,5,5,1,5,,5,7,1,5,6,1,4,3,3,5,2,5,5,3,5,4,7,6,5,5,3,5,7,7,1,5,3,5,5,6,7,2,7,5,3,3,4,6,4,1,,1,,,,5,1,,,,,,,,,,,,1,1,1,2,2,2,1,2,2,5,,,,,,,2,1,1,1,1,1,1,4,4,4,2,3,2,,41.65609741,-0.877304077,-1
R_eLg9qcqOUOCyltb,Default Response Set,Anonymous,,,90.75.219.212,0,5/5/2016 16:24,5/5/2016 16:28,1,600300,2,,1,,,,,,,,,,1,5,1,1,1,1,1,5,5,5,1,5,,4,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,6,6,6,6,6,6,2,4,5,5,5,6,5,6,1,,1,,,,,,,,3,2,3,2,2,2,1,,,2,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,4,4,3,21,3,,41.38879395,2.158996582,-1
R_6SBDo2pgiT8lNlz,Default Response Set,Anonymous,,,37.11.176.251,0,5/5/2016 16:15,5/5/2016 16:28,1,600244,2,,1,,,,,,,,,,1,6,1,1,1,1,5,5,5,5,3,5,,6,6,3,2,5,3,1,1,6,7,3,4,1,7,7,7,4,2,1,5,6,5,7,2,6,7,3,3,7,1,7,2,6,7,2,5,2,2,3,1,,1,,,,,,,,,,,,,,,6,1,3,3,3,1,1,3,2,3,1,5,,,,,,,7,7,7,7,6,7,1,1,2,3,2,31,2,,40.45539856,-3.469696045,-1
R_0ixBmyXx3Myg9yR,Default Response Set,Anonymous,,,80.39.174.162,0,5/5/2016 16:18,5/5/2016 16:28,1,600266,2,,1,,,,,,,,,,1,5,1,1,1,1,2,5,5,5,1,5,,5,7,4,3,6,2,2,2,6,6,2,4,3,5,6,5,7,7,1,6,7,7,7,2,4,6,2,7,6,4,6,2,7,7,1,4,3,4,5,1,,2,,,,,,,,,,,,,,,5,1,2,2,1,1,1,1,2,2,1,5,,,,,,,1,2,2,2,2,2,1,1,3,3,2,28,2,,40.41650391,-3.702606201,-1
R_ai2P058CwvDViTj,Default Response Set,Anonymous,,,79.151.206.100,0,5/5/2016 16:18,5/5/2016 16:29,1,600263,2,,1,,,,,,,,,,1,7,2,2,1,2,3,5,5,5,3,5,,3,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,5,5,4,5,4,5,6,4,3,4,4,5,4,4,4,2,3,4,4,3,4,5,5,6,,1,,4,1,,,,,,,,,,,,,,2,2,2,1,1,1,2,1,1,5,,,,,,,4,4,3,3,4,3,2,3,1,1,,42,1,,41.47669983,-1.37449646,-1
R_6tZG5ZiUorD0zMV,Default Response Set,Anonymous,,,2.137.67.42,0,5/5/2016 16:25,5/5/2016 16:30,1,600308,,,1,,,,,,,,,,1,5,1,1,1,1,3,5,5,5,3,5,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,1,,1,,,,,,,,1,1,1,1,1,4,1,,,3,3,3,3,2,3,3,3,3,5,,,,,,,4,2,2,2,4,4,2,6,2,3,2,22,2,,40.41650391,-3.702606201,-1
R_ebrddPDeDHYk9o1,Default Response Set,Anonymous,,,188.76.135.122,0,5/5/2016 16:20,5/5/2016 16:30,1,600278,2,,1,,,,,,,,1,,,7,1,1,1,1,2,5,5,5,1,5,,4,4,5,2,6,4,3,2,4,6,3,4,2,5,6,6,6,6,2,6,4,4,7,2,4,6,4,6,6,2,6,2,4,6,3,4,,6,5,6,,1,,,,,,4,1,,,,,,,,,,2,1,2,2,1,2,1,1,1,2,6,6,6,6,6,6,3,3,3,3,3,3,1,1,4,3,2,44,2,,43.36659241,-8.406799316,-1
R_e8n6SgtudpBJHbn,Default Response Set,Anonymous,,,85.55.17.118,0,5/5/2016 16:19,5/5/2016 16:30,1,600274,2,,1,,,,,,,,,,1,5,1,1,1,1,1,5,5,5,2,5,,4,5,4,4,6,3,4,4,4,4,4,5,4,3,5,4,6,5,4,6,5,5,6,4,3,4,4,5,5,6,5,2,5,5,5,3,6,6,5,1,,3,,,,,,,,3,2,3,3,3,4,1,,,2,2,3,1,1,2,3,1,1,5,,,,,,,1,1,1,1,1,1,2,1,4,3,3,28,4,,40.15910339,-3.621002197,-1
R_2tzIF9EWPRTb6lf,Default Response Set,Anonymous,,,88.3.222.105,0,5/5/2016 16:17,5/5/2016 16:31,1,600258,2,,1,,,,,,,,,,1,5,1,1,1,1,5,5,5,5,3,5,,6,7,4,2,6,2,1,1,7,7,2,4,2,5,6,7,7,6,1,6,7,7,7,2,4,7,6,7,7,7,7,2,7,7,2,7,7,6,7,1,,1,,5,1,,,,,,,,,,,,,,1,1,2,1,2,1,2,1,1,4,4,3,4,5,4,5,4,4,4,5,3,2,2,2,1,3,3,30,2,,40.96879578,-5.663894653,-1
R_4MYFUs9meZfAw17,Default Response Set,Anonymous,,,81.38.57.235,0,5/5/2016 16:20,5/5/2016 16:31,1,600277,2,,1,,,,,,,,,,1,7,2,1,1,1,2,5,5,5,2,5,,5,6,3,3,6,3,2,3,5,5,5,6,3,6,6,6,5,5,2,5,5,5,6,3,4,5,5,5,6,4,6,2,5,5,3,4,5,4,5,4,,2,,,,5,1,,,,,,,,,,,,2,1,2,1,1,1,1,1,2,5,,,,,,,2,3,3,4,4,4,2,2,3,3,2,44,2,,41.38879395,2.158996582,-1
R_2bKNh7T5h06g0MR,Default Response Set,Anonymous,,,159.147.170.157,0,5/5/2016 16:21,5/5/2016 16:31,1,600284,2,,1,,,,,,,,,,1,5,1,1,1,2,5,5,5,5,2,5,,6,7,5,2,6,1,1,1,6,7,1,4,1,6,7,7,7,3,1,7,7,5,7,2,5,6,1,3,6,6,7,2,5,7,1,1,3,5,6,1,,1,,,,,,2,1,,,,,,,,,,3,3,2,1,1,1,2,1,1,5,,,,,,,2,3,3,2,2,2,2,1,6,4,3,28,4,,43.2368927,-2.881103516,-1
R_0cQsAv2FSF8y6t7,Default Response Set,Anonymous,,,46.25.101.102,0,5/5/2016 16:19,5/5/2016 16:31,1,600269,2,,1,,,,,,,,,,1,2,1,1,1,1,3,5,5,5,2,5,,7,7,3,3,6,1,2,4,6,6,3,3,2,5,6,6,7,3,3,6,7,7,5,4,6,6,1,7,7,4,6,2,7,5,1,4,1,4,2,1,,1,,,,,,,,,,,,,,,3,1,2,2,2,1,1,1,2,1,1,4,3,4,3,3,3,1,2,5,3,4,2,2,2,4,2,4,2,4,2,,38.05459595,-1.207595825,-1
R_b4vKWHLUiuSsfRz,Default Response Set,Anonymous,,,83.213.190.114,0,5/5/2016 16:25,5/5/2016 16:31,1,600307,2,,1,,,,,,,,,,1,4,1,1,1,1,2,5,5,5,2,5,,5,5,4,4,6,4,2,3,6,5,4,4,5,4,4,5,4,4,4,6,4,4,6,4,2,5,4,4,4,5,5,2,4,5,5,3,5,6,4,1,,3,,,,,,4,1,,,,,,,,,,1,1,2,2,2,2,1,1,2,3,3,3,4,3,3,2,3,3,2,2,3,3,1,1,6,5,4,16,3,,43.26269531,-2.925292969,-1
R_bdAB3OD7QAaWWbj,Default Response Set,Anonymous,,,91.117.232.61,0,5/5/2016 16:21,5/5/2016 16:31,1,600283,2,,1,,,,,,,,,,1,5,1,1,1,1,3,3,5,5,1,5,,5,6,3,3,6,3,1,1,3,6,2,7,3,5,5,7,7,4,1,7,5,4,7,1,2,5,3,7,7,4,7,2,5,7,3,1,3,5,2,1,,3,,5,1,,,,,,,,,,,,,,3,2,3,3,3,3,2,1,1,3,7,7,7,7,7,7,4,6,4,5,5,4,2,2,4,3,1,28,2,,42.23280334,-8.722595215,-1
R_ezZAdrCZ8ePD1rL,Default Response Set,Anonymous,,,81.61.144.163,0,5/5/2016 16:23,5/5/2016 16:31,1,600295,2,,1,,,,,,,,,,1,5,1,1,2,1,5,5,5,5,3,5,,6,7,4,1,4,1,1,2,2,7,1,4,3,7,7,7,7,5,1,2,7,7,7,1,4,7,4,5,7,4,7,2,7,7,1,4,2,5,3,1,,3,,,,,,4,1,,,,,,,,,,3,3,3,1,1,3,2,1,2,5,,,,,,,1,1,1,1,4,2,2,1,3,3,1,27,3,,41.44999695,2.247406006,-1
R_bPWWwgfQtLhQA0l,Default Response Set,Anonymous,,,212.55.10.83,0,5/5/2016 16:24,5/5/2016 16:31,1,600297,2,,1,,,,,,,,,,1,6,1,1,1,1,5,5,5,5,3,5,,6,6,,6,2,2,5,4,6,6,3,3,2,6,6,6,6,4,2,6,6,7,6,3,3,6,6,6,6,6,6,2,6,6,2,3,2,6,6,1,,3,,,,,,,,2,3,3,2,2,2,1,,,2,1,2,2,1,2,1,1,1,5,,,,,,,4,3,3,3,3,3,2,1,6,2,1,39,4,,43.26269531,-2.925292969,-1
R_9zvgofEWQFTjr1j,Default Response Set,Anonymous,,,85.251.137.161,0,5/5/2016 16:20,5/5/2016 16:31,1,600281,2,,1,,,,,,,,,,1,6,1,1,1,1,4,5,5,5,3,5,,4,5,4,2,2,4,2,3,4,6,4,2,2,5,6,7,3,6,2,3,5,5,6,2,2,6,3,5,6,1,4,2,4,5,5,6,4,6,5,1,,3,,,,,,,,3,3,3,3,3,5,1,,,3,3,2,3,1,3,2,3,1,5,,,,,,,4,3,3,3,2,4,1,1,4,4,2,38,2,,40.28419495,-3.7940979,-1
R_dcelahLLDeT4s4Z,Default Response Set,Anonymous,,,46.222.181.162,0,5/5/2016 16:17,5/5/2016 16:32,1,600256,2,,1,,,,,,,,,,1,6,1,1,1,1,5,5,5,5,2,5,,6,6,2,2,6,2,1,1,7,2,2,5,3,7,6,7,7,6,1,7,7,7,4,1,1,6,6,6,6,5,6,2,5,7,1,1,3,7,6,1,,3,,,,,,,,,,,,,,,4,1,1,1,1,1,1,2,2,1,1,5,,,,,,,1,1,1,1,1,1,1,1,3,1,,33,2,,40.41720581,-3.684005737,-1
R_85JUiu5zXTk1AX3,Default Response Set,Anonymous,,,2.136.54.199,0,5/5/2016 16:13,5/5/2016 16:32,1,600217,2,,1,,,,,,,,,,1,8,1,1,1,1,5,5,5,5,1,5,,5,6,5,3,1,3,1,3,5,6,3,3,6,5,6,5,6,7,2,2,5,6,7,5,2,6,6,6,6,2,6,2,6,6,3,3,6,6,6,1,,1,,,,,,,,,,,,,,,4,1,3,3,3,3,3,3,3,3,1,5,,,,,,,4,3,3,2,2,2,1,5,3,2,1,54,3,,41.38879395,2.158996582,-1
R_0wVcuABqrgwi353,Default Response Set,Anonymous,,,85.136.155.131,0,5/5/2016 16:24,5/5/2016 16:32,1,600303,2,,1,,,,,,,,1,,,6,2,1,1,1,3,5,5,5,3,5,,7,7,2,1,4,2,1,1,4,7,1,4,1,7,7,7,5,7,1,5,6,6,7,2,1,7,5,6,7,4,7,2,7,7,4,1,5,6,6,1,,1,,7,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,2,7,7,7,7,7,7,2,2,2,2,2,2,1,1,5,3,2,32,5,,37.38240051,-5.976104736,-1
R_0TH9OC1ij1AuM7j,Default Response Set,Anonymous,,,212.9.70.8,0,5/5/2016 16:21,5/5/2016 16:32,1,600287,2,,1,,,,,,,,,,1,5,1,1,1,2,2,5,5,5,3,5,,6,7,6,3,6,1,3,3,5,5,2,3,3,3,5,5,6,3,2,6,3,6,7,2,3,5,3,6,5,5,6,2,5,7,1,2,3,5,3,1,,3,,,,,,,,,,,,,,,4,1,2,2,2,2,2,1,2,1,1,5,,,,,,,2,3,3,3,4,4,2,6,4,3,2,23,2,,40.1907959,-3.678894043,-1
R_3eFTwsyF52proEJ,Default Response Set,Anonymous,,,83.39.183.128,0,5/5/2016 16:24,5/5/2016 16:33,1,600302,2,,1,,,,,,,,,,1,5,2,1,3,2,3,5,5,5,3,5,,3,6,3,1,5,2,2,2,5,6,2,4,1,7,6,6,7,2,1,7,6,4,5,3,5,7,5,6,7,3,7,2,6,5,3,5,2,3,1,1,,1,,4,1,,,,,,,,,,,,,,2,3,3,2,3,3,3,1,3,5,,,,,,,3,3,3,3,4,2,1,6,1,1,,25,2,,40.12210083,-3.847000122,-1
R_862z7PVl6P9sK1L,Default Response Set,Anonymous,,,77.228.175.85,0,5/5/2016 16:18,5/5/2016 16:33,1,600262,2,,1,,1,1,,,,,,,,3,1,1,1,1,3,5,5,5,3,5,,7,7,3,3,6,1,4,4,5,6,1,5,4,5,7,6,7,5,4,3,7,6,5,4,2,5,1,6,5,5,6,2,7,7,2,2,7,5,5,1,,1,,4,1,,,,,,,,,,,,,,3,3,3,3,3,3,2,3,1,5,,,,,,,4,5,4,5,3,3,2,4,2,5,2,6,2,,41.38879395,2.158996582,-1
R_86QrrcBRoCNztOJ,Default Response Set,Anonymous,,,62.82.19.181,0,5/5/2016 16:15,5/5/2016 16:33,1,600245,2,,1,,1,,,,,,,,,7,3,3,1,1,1,5,5,5,4,5,,6,6,3,2,6,2,1,2,5,6,3,2,3,5,6,7,5,6,2,6,6,6,7,2,3,5,5,6,6,5,6,2,5,6,1,3,2,5,4,1,,1,,,,,,2,1,,,,,,,,,,2,2,2,1,1,1,2,1,1,5,,,,,,,2,2,2,2,2,2,2,1,4,3,1,43,3,,39.1499939,-0.433303833,-1
R_bg82s7dVEwMehWl,Default Response Set,Anonymous,,,47.59.171.33,0,5/5/2016 16:21,5/5/2016 16:33,1,600286,2,,1,,,,,,,,,,1,5,1,1,2,1,5,5,5,5,3,5,,7,7,1,1,7,1,1,1,6,7,1,6,4,7,7,7,7,7,7,7,7,7,7,3,3,7,1,1,1,6,1,2,7,5,1,1,5,5,5,1,,2,,,,,,,,,,,,,,,5,1,3,3,3,1,3,3,3,3,1,5,,,,,,,4,4,4,4,4,4,2,1,2,3,2,21,2,,36.72669983,-4.434799194,-1
R_bguxwKV7lPCQkRL,Default Response Set,Anonymous,,,85.49.225.111,0,5/5/2016 16:28,5/5/2016 16:33,1,600333,2,,1,,,,,,,,,,1,5,1,1,2,1,2,5,5,5,2,5,,5,4,4,5,6,4,5,5,5,4,4,5,5,5,5,4,6,5,5,5,4,5,4,5,4,4,4,5,4,4,4,2,4,5,4,5,4,3,5,1,,1,,,,,,3,1,,,,,,,,,,2,1,2,2,1,1,1,2,1,5,,,,,,,4,4,4,4,4,4,1,2,3,3,2,24,3,,42.35020447,-3.675292969,-1
R_bDXbLy7C0owrvV3,Default Response Set,Anonymous,,,83.46.151.228,0,5/5/2016 16:22,5/5/2016 16:33,1,600291,2,,1,,,,,,,,,,1,5,1,1,2,1,5,5,5,5,3,5,,2,6,3,2,1,1,1,1,6,7,1,4,3,6,5,6,7,5,1,5,5,6,7,1,3,6,1,7,7,4,7,2,7,6,1,7,5,6,5,1,,1,,,,,,,,,,,,,,,7,1,3,3,3,1,1,3,2,3,1,5,,,,,,,2,2,2,2,2,4,2,2,2,3,2,22,2,,41.11669922,1.25,-1
R_eVzyGEsBM3axs9v,Default Response Set,Anonymous,,,95.16.236.112,0,5/5/2016 16:24,5/5/2016 16:33,1,600299,2,,1,,,,,,,,1,1,,4,1,1,1,1,2,5,5,5,1,5,,5,7,5,4,6,4,5,4,3,2,1,2,4,4,4,3,4,3,4,7,4,3,7,5,6,3,2,5,4,6,5,2,3,6,4,2,4,2,5,1,,1,,,,5,1,,,,,,,,,,,,2,2,2,1,2,2,2,1,1,5,,,,,,,1,1,2,1,2,3,1,1,3,4,1,11,1,,42.35020447,-3.675292969,-1
